old_subject,new_subject,named_by
entity:HQ_10_001_SHEIKHA_WING_STORAGE,entity:HQ_10-001_Sheikha-Wing-Storage,naming sheet
entity:HQ_10_002A_OFFICE_SPACE,entity:HQ_10-002A_Office-Space,naming sheet
entity:HQ_10_002B_OFFICE_SPACE,entity:HQ_10-002B_Office-Space,naming sheet
entity:HQ_10_002C_OFFICE_SPACE,entity:HQ_10-002C_Office-Space,naming sheet
entity:HQ_10_002D_OFFICE_SPACE,entity:HQ_10-002D_Office-Space,naming sheet
entity:HQ_10_002E_OFFICE_SPACE,entity:HQ_10-002E_Office-Space,naming sheet
entity:HQ_10_003_BOARD_ROOM_WAITING_AREA,entity:HQ_10-003_Board-Room-Waiting-Area,naming sheet
entity:HQ_10_004_EXECDIRARCHCOORD,entity:HQ_10-004_Execdirarchcoord,naming sheet
entity:HQ_10_005_SHEIKHA_WING_ARCHIVE,entity:HQ_10-005_Sheikha-Wing-Archive,naming sheet
entity:HQ_10_006_EXECDIRARCHCOORD,entity:HQ_10-006_Execdirarchcoord,naming sheet
entity:HQ_10_007_EXECDIR_PROTASSIST,entity:HQ_10-007_Execdir-Protassist,naming sheet
entity:HQ_10_008_PROTOCOL_DIR_SCHED_OFFICER,entity:HQ_10-008_Protocol-Dir-Sched-Officer,naming sheet
entity:HQ_10_009_PROTOCOL_DIR_CEREMOFF,entity:HQ_10-009_Protocol-Dir-Ceremoff,naming sheet
entity:HQ_10_011_PROTOCOL_DIR_CEREMOFF,entity:HQ_10-011_Protocol-Dir-Ceremoff,naming sheet
entity:HQ_10_012_PROTOCOL_DIR_TR_&_VIS_OFF,entity:HQ_10-012_Protocol-Dir-Tr-And-Vis-Off,naming sheet
entity:HQ_10_013_PROTOCOL_DIR_TR_&_VIS_OFF,entity:HQ_10-013_Protocol-Dir-Tr-And-Vis-Off,naming sheet
entity:HQ_10_014_PRINT_COPY,entity:HQ_10-014_Print-Copy,naming sheet
entity:HQ_10_015_PROTOCOL_DIRSCHED_OFFICER,entity:HQ_10-015_Protocol-Dirsched-Officer,naming sheet
entity:HQ_10_016_PLANNING_DIRPLANNING_ANALYST,entity:HQ_10-016_Planning-Dirplanning-Analyst,naming sheet
entity:HQ_10_017_PLANNING_DIRSTRATPLANNER,entity:HQ_10-017_Planning-Dirstratplanner,naming sheet
entity:HQ_10_018_PLANNING_DIR_EXTCOORD,entity:HQ_10-018_Planning-Dir-Extcoord,naming sheet
entity:HQ_10_019_POLICY_DIRSENPOLANALYST,entity:HQ_10-019_Policy-Dirsenpolanalyst,naming sheet
entity:HQ_10_01_PROTOCOL_DIR_CEREMOFF,entity:HQ_10-010_Protocol-Dir-Ceremoff,naming sheet
entity:HQ_10_021_POLICY_DIRRESANALYST,entity:HQ_10-021_Policy-Dirresanalyst,naming sheet
entity:HQ_10_022_POLICY_DIRRESANALYST,entity:HQ_10-022_Policy-Dirresanalyst,naming sheet
entity:HQ_10_023_SHSERVDIR_HR_OFFICER,entity:HQ_10-023_Shservdir-Hr-Officer,naming sheet
entity:HQ_10_024_SHSERVDIRHR_ASSISTANT,entity:HQ_10-024_Shservdirhr-Assistant,naming sheet
entity:HQ_10_025_SHSERVDIRPROCURREPRESENT,entity:HQ_10-025_Shservdirprocurrepresent,naming sheet
entity:HQ_10_026_SHSERVDIRSERVICE_COORD,entity:HQ_10-026_Shservdirservice-Coord,naming sheet
entity:HQ_10_027_SHSERVDIRGENSERVSUPERV,entity:HQ_10-027_Shservdirgenservsuperv,naming sheet
entity:HQ_10_028_SHSERVDIRFINANCCONTROL,entity:HQ_10-028_Shservdirfinanccontrol,naming sheet
entity:HQ_10_029_SHSERVDIRTR&_GUSERV,entity:HQ_10-029_Shservdirtr-And-Guserv,naming sheet
entity:HQ_10_02_POLICY_DIR_SENRESEARCH_ANALYST,entity:HQ_10-020_Policy-Dir-Senresearch-Analyst,naming sheet
entity:HQ_10_030_PANTRY,entity:HQ_10-030_Pantry,ontology (reference holds several rooms)
entity:HQ_10_031_COMMUNICDIRCOMMDESIGNER,entity:HQ_10-031_Communicdircommdesigner,naming sheet
entity:HQ_10_032_COMMUNICDIRSPEECH_EDITOR,entity:HQ_10-032_Communicdirspeech-Editor,naming sheet
entity:HQ_10_033_COMMUNICDIR_TRANSLATOR,entity:HQ_10-033_Communicdir-Translator,naming sheet
entity:HQ_10_034_COMMUNICDIRPUBCOMMCOORD,entity:HQ_10-034_Communicdirpubcommcoord,naming sheet
entity:HQ_10_035_SHSERVDIR_IT_SUPPORT_OFFICER,entity:HQ_10-035_Shservdir-IT-Support-Officer,naming sheet
entity:HQ_10_036_SHSERVDIR_ACCOUNT,entity:HQ_10-036_Shservdir-Account,naming sheet
entity:HQ_10_037_SHSERVDIRSENACCOUNTANT,entity:HQ_10-037_Shservdirsenaccountant,naming sheet
entity:HQ_10_038_PRINT_COPY,entity:HQ_10-038_Print-Copy,naming sheet
entity:HQ_10_03_PANTRY,entity:HQ_10-03_Pantry,ontology (reference holds several rooms)
entity:HQ_10_101_CONSULTANTS_SPACE,entity:HQ_10-101_Consultants-Space,naming sheet
entity:HQ_10_102_SHEIKHA_WING_MULTIPURPOSE_ROOM,entity:HQ_10-102_Sheikha-Wing-Multipurpose-Room,naming sheet
entity:HQ_10_103_HH_WING_PANTRY,entity:HQ_10-103_Hh-Wing-Pantry,ontology (reference holds several rooms)
entity:HQ_10_104_HH_WING_STORAGE,entity:HQ_10-104_Hh-Wing-Storage,ontology (reference holds several rooms)
entity:HQ_10_105_HH_WING_STORAGE,entity:HQ_10-105_Hh-Wing-Storage,ontology (reference holds several rooms)
entity:HQ_10_106_LOUNGE,entity:HQ_10-106_Lounge,naming sheet
entity:HQ_10_107_STORAGE,entity:HQ_10-107_Storage,ontology (reference holds several rooms)
entity:HQ_10_108_JANITORS_CLOSET,entity:HQ_10-108_Janitors-Closet,ontology (reference holds several rooms)
entity:HQ_10_109_BOARD_PREPROOM,entity:HQ_10-109_Board-Preproom,naming sheet
entity:HQ_10_111_AV_ROOM,entity:HQ_10-111_AV-Room,naming sheet
entity:HQ_10_112_TRANSLATOR_ROOM,entity:HQ_10-112_Translator-Room,naming sheet
entity:HQ_10_11_SHEIKHA_WING_BOARD_ROOM,entity:HQ_10-110_Sheikha-Wing-Board-Room,ontology (reference holds several rooms)
entity:HQ_10_401_FEMALE_TOILET,entity:HQ_10-401_Female-Toilet,ontology (reference holds several rooms)
entity:HQ_10_402_MALE_TOILET,entity:HQ_10-402_Male-Toilet,ontology (reference holds several rooms)
entity:HQ_10_403_MALE_TOILET,entity:HQ_10-403_Male-Toilet,ontology (reference holds several rooms)
entity:HQ_10_404_FEMALE_TOILET,entity:HQ_10-404_Female-Toilet,ontology (reference holds several rooms)
entity:HQ_10_405_MALE_TOILET,entity:HQ_10-405_Male-Toilet,ontology (reference holds several rooms)
entity:HQ_10_406_FEMALE_TOILET,entity:HQ_10-406_Female-Toilet,ontology (reference holds several rooms)
entity:HQ_10_511_VESTIBULE,entity:HQ_10-511_Vestibule,ontology (reference holds several rooms)
entity:HQ_10_512_IDF_ROOM,entity:HQ_10-512_IDF-Room,naming sheet
entity:HQ_10_521_VESTIBULE,entity:HQ_10-521_Vestibule,ontology (reference holds several rooms)
entity:HQ_10_531_IDF_ROOM,entity:HQ_10-531_IDF-Room,naming sheet
entity:HQ_10_532_ELECTRICAL_CLOSET_1,entity:HQ_10-532_Electrical-Closet-1,ontology (reference holds several rooms)
entity:HQ_10_533_ELECTRICAL_CLOSET_2,entity:HQ_10-533_Electrical-Closet-2,ontology (reference holds several rooms)
entity:HQ_10_541_VESTIBULE,entity:HQ_10-541_Vestibule,ontology (reference holds several rooms)
entity:HQ_10_601_HH-WING_CORRIDOR,entity:HQ_10-601_Hh-Wing-Corridor,naming sheet
entity:HQ_10_701_TERRACE,entity:HQ_10-701_Terrace,ontology (reference holds several rooms)
entity:HQ_10_P-1,entity:HQ_10_P-1,ontology (reference holds several rooms)
entity:HQ_10_P-2,entity:HQ_10_P-2,ontology (reference holds several rooms)
entity:HQ_10_P-3,entity:HQ_10_P-3,ontology (reference holds several rooms)
entity:HQ_10_P-4,entity:HQ_10_P-4,ontology (reference holds several rooms)
entity:HQ_10_P-5,entity:HQ_10_P-5,ontology (reference holds several rooms)
entity:HQ_10_P-6,entity:HQ_10_P-6,ontology (reference holds several rooms)
entity:HQ_10_S-1,entity:HQ_10_S-1,ontology (reference holds several rooms)
entity:HQ_10_ST-1,entity:HQ_10_ST-1,ontology (reference holds several rooms)
entity:HQ_10_ST-2,entity:HQ_10_ST-2,ontology (reference holds several rooms)
entity:HQ_10_ST-3,entity:HQ_10_ST-3,ontology (reference holds several rooms)
entity:HQ_10_ST-4,entity:HQ_10_ST-4,ontology (reference holds several rooms)
entity:HQ_11_001_COMMUNICDIR_COMMUNICATION_DIRECTOR,entity:HQ_11-001_Communicdir-Communication-Director,naming sheet
entity:HQ_11_002_COMMUNICDIRMEDRELOFFICER,entity:HQ_11-002_Communicdirmedrelofficer,naming sheet
entity:HQ_11_003_SHSERVDIR_DIRSHARED_SERVICES,entity:HQ_11-003_Shservdir-Dirshared-Services,naming sheet
entity:HQ_11_004_EXECDIRECTOR_ADMASSIST,entity:HQ_11-004_Execdirector-Admassist,naming sheet
entity:HQ_11_005_PROTOCOL_DIRPROTOCOL_DIRECTOR,entity:HQ_11-005_Protocol-Dirprotocol-Director,naming sheet
entity:HQ_11_006_PROTOCOL_DIRGIFTS_DIRECTOR,entity:HQ_11-006_Protocol-Dirgifts-Director,naming sheet
entity:HQ_11_007_EXECDIRCONSULTANT,entity:HQ_11-007_Execdirconsultant,naming sheet
entity:HQ_11_008_EXECDIRCONSULTANT,entity:HQ_11-008_Execdirconsultant,naming sheet
entity:HQ_11_009_SECRETARY,entity:HQ_11-009_Secretary,naming sheet
entity:HQ_11_011_SECRETARY,entity:HQ_11-011_Secretary,naming sheet
entity:HQ_11_012_PLANNING_DIRDIRPLANNING,entity:HQ_11-012_Planning-Dirdirplanning,naming sheet
entity:HQ_11_013_EXECDIRCORRF-UP,entity:HQ_11-013_Execdircorrf-Up,naming sheet
entity:HQ_11_014_EXECDIRCORRMANAGER,entity:HQ_11-014_Execdircorrmanager,naming sheet
entity:HQ_11_015_EXECDIRCORRF-UP,entity:HQ_11-015_Execdircorrf-Up,naming sheet
entity:HQ_11_016_EXECDIRLEGAL_ASSIST,entity:HQ_11-016_Execdirlegal-Assist,naming sheet
entity:HQ_11_017_EXECDIRLEGAL_ADVISOR,entity:HQ_11-017_Execdirlegal-Advisor,naming sheet
entity:HQ_11_018_EXECDIREXECASSIST,entity:HQ_11-018_Execdirexecassist,naming sheet
entity:HQ_11_019_EXECDIR_DEPEXECDIRECTOR,entity:HQ_11-019_Execdir-Depexecdirector,naming sheet
entity:HQ_11_01_POLICY_DIRDIROF_POL&_RES,entity:HQ_11-010_Policy-Dirdirof-Pol-And-Res,naming sheet
entity:HQ_11_021_EXECDIREXECDIRECTOR,entity:HQ_11-021_Execdirexecdirector,naming sheet
entity:HQ_11_022_SHEIKHA_WING_WAITING_ROOM,entity:HQ_11-022_Sheikha-Wing-Waiting-Room,naming sheet
entity:HQ_11_023_SHEIKHA_WING_SECURITY_ROOM,entity:HQ_11-023_Sheikha-Wing-Security-Room,naming sheet
entity:HQ_11_02_EXECDIREXECASSIST,entity:HQ_11-020_Execdirexecassist,naming sheet
entity:HQ_11_101_AV_ROOM,entity:HQ_11-101_AV-Room,ontology (reference holds several rooms)
entity:HQ_11_102_HH_WING_BUSINESS_LOUNGE,entity:HQ_11-102_Hh-Wing-Business-Lounge,naming sheet
entity:HQ_11_103_SHEIKHA_WING_BUSINESS_LOUNGE,entity:HQ_11-103_Sheikha-Wing-Business-Lounge,naming sheet
entity:HQ_11_104_PANTRY,entity:HQ_11-104_Pantry,ontology (reference holds several rooms)
entity:HQ_11_105_JANITORS_CLOSET,entity:HQ_11-105_Janitors-Closet,ontology (reference holds several rooms)
entity:HQ_11_106_ELECTRICAL_ROOM,entity:HQ_11-106_Electrical-Room,naming sheet
entity:HQ_11_107_AV_IT,entity:HQ_11-107_AV-IT,naming sheet
entity:HQ_11_108_PRINT_COPY,entity:HQ_11-108_Print-Copy,naming sheet
entity:HQ_11_11_ELECTRICAL_CABINET,entity:HQ_11-110_Electrical-Cabinet,naming sheet
entity:HQ_11_201_SHEIKHA_WING_LOBBY,entity:HQ_11-201_Sheikha-Wing-Lobby,naming sheet
entity:HQ_11_202_SHEIKHA_WING_SHEIKHA_ENSUIT,entity:HQ_11-202_Sheikha-Wing-Sheikha-Ensuit,ontology (reference holds several rooms)
entity:HQ_11_203_SHEIKHA_WING_RELAX_AREA,entity:HQ_11-203_Sheikha-Wing-Relax-Area,naming sheet
entity:HQ_11_204_SHEIKHA_WING_MEETING_ROOM,entity:HQ_11-204_Sheikha-Wing-Meeting-Room,naming sheet
entity:HQ_11_401_MALE_TOILET,entity:HQ_11-401_Male-Toilet,ontology (reference holds several rooms)
entity:HQ_11_402_FEMALE_TOILET,entity:HQ_11-402_Female-Toilet,ontology (reference holds several rooms)
entity:HQ_11_403_SHEIKHA_WING_BATHROOM,entity:HQ_11-403_Sheikha-Wing-Bathroom,ontology (reference holds several rooms)
entity:HQ_11_404_TOILET,entity:HQ_11-404_Toilet,ontology (reference holds several rooms)
entity:HQ_11_405_TOILET,entity:HQ_11-405_Toilet,ontology (reference holds several rooms)
entity:HQ_11_406_TOILET,entity:HQ_11-406_Toilet,ontology (reference holds several rooms)
entity:HQ_11_407_TOILET,entity:HQ_11-407_Toilet,ontology (reference holds several rooms)
entity:HQ_11_408_TOILET,entity:HQ_11-408_Toilet,ontology (reference holds several rooms)
entity:HQ_11_409_TOILET,entity:HQ_11-409_Toilet,ontology (reference holds several rooms)
entity:HQ_11_411_TOILET,entity:HQ_11-411_Toilet,ontology (reference holds several rooms)
entity:HQ_11_412_TOILET,entity:HQ_11-412_Toilet,ontology (reference holds several rooms)
entity:HQ_11_41_TOILET,entity:HQ_11-410_Toilet,ontology (reference holds several rooms)
entity:HQ_11_511_VESTIBULE,entity:HQ_11-511_Vestibule,ontology (reference holds several rooms)
entity:HQ_11_512_IDF_ROOM,entity:HQ_11-512_IDF-Room,naming sheet
entity:HQ_11_521_VESTIBULE,entity:HQ_11-521_Vestibule,ontology (reference holds several rooms)
entity:HQ_11_531_IDF_ROOM,entity:HQ_11-531_IDF-Room,naming sheet
entity:HQ_11_532_ELECTRICAL_CLOSET,entity:HQ_11-532_Electrical-Closet,ontology (reference holds several rooms)
entity:HQ_11_533_ELECTRICAL_CLOSET_2,entity:HQ_11-533_Electrical-Closet-2,ontology (reference holds several rooms)
entity:HQ_11_541_VESTIBULE,entity:HQ_11-541_Vestibule,ontology (reference holds several rooms)
entity:HQ_11_601_SHEIKHA_WING_CORRIDOR,entity:HQ_11-601_Sheikha-Wing-Corridor,naming sheet
entity:HQ_11_701_SHEIKHA_WING_TERRACE,entity:HQ_11-701_Sheikha-Wing-Terrace,ontology (reference holds several rooms)
entity:HQ_11_702_TERRACE,entity:HQ_11-702_Terrace,ontology (reference holds several rooms)
entity:HQ_11_709_SHEIKHA_WING_CONFERENCE_ROOM,entity:HQ_11-709_Sheikha-Wing-Conference-Room,ontology (reference holds several rooms)
entity:HQ_11_P-1,entity:HQ_11_P-1,ontology (reference holds several rooms)
entity:HQ_11_P-2,entity:HQ_11_P-2,ontology (reference holds several rooms)
entity:HQ_11_P-3,entity:HQ_11_P-3,ontology (reference holds several rooms)
entity:HQ_11_P-4,entity:HQ_11_P-4,ontology (reference holds several rooms)
entity:HQ_11_P-5,entity:HQ_11_P-5,ontology (reference holds several rooms)
entity:HQ_11_P-6,entity:HQ_11_P-6,ontology (reference holds several rooms)
entity:HQ_11_ST-2,entity:HQ_11_ST-2,ontology (reference holds several rooms)
entity:HQ_11_ST-3,entity:HQ_11_ST-3,ontology (reference holds several rooms)
entity:HQ_11_ST-4,entity:HQ_11_ST-4,ontology (reference holds several rooms)
entity:HQ_12_001_COMMUNIC_DIR_COMMUNICATION_DIRECTOR,entity:HQ_12-001_Communic-Dir-Communication-Director,ontology (reference holds several rooms)
entity:HQ_12_002_MCC_CLOSET,entity:HQ_12-002_MCC-Closet,naming sheet
entity:HQ_12_003_MCC_CLOSET,entity:HQ_12-003_MCC-Closet,naming sheet
entity:HQ_12_004_MCC_CLOSET,entity:HQ_12-004_MCC-Closet,naming sheet
entity:HQ_12_201_SHEIKHA_WING_SHEIKHA_ENSUIT,entity:HQ_12-201_Sheikha-Wing-Sheikha-Ensuit,ontology (reference holds several rooms)
entity:HQ_12_202_SHEIKHA_WING_SHEIKHA_ENSUIT,entity:HQ_12-202_Sheikha-Wing-Sheikha-Ensuit,ontology (reference holds several rooms)
entity:HQ_12_203_SHEIKHA_WING_RELAX_AREA,entity:HQ_12-203_Sheikha-Wing-Relax-Area,ontology (reference holds several rooms)
entity:HQ_12_204_SHEIKHA_WING_RELAX_AREA,entity:HQ_12-204_Sheikha-Wing-Relax-Area,ontology (reference holds several rooms)
entity:HQ_12_405_TOILET,entity:HQ_12-405_Toilet,ontology (reference holds several rooms)
entity:HQ_1_001_FINANCE_CLERICAL_SECRETARIES,entity:HQ_1-001_Finance-Clerical-Secretaries,naming sheet
entity:HQ_1_002_FINANCE_MANAGERS,entity:HQ_1-002_Finance-Managers,naming sheet
entity:HQ_1_003_FINANCE_MANAGER,entity:HQ_1-003_Finance-Manager,naming sheet
entity:HQ_1_004_FINANCE_MANAGER,entity:HQ_1-004_Finance-Manager,naming sheet
entity:HQ_1_005_FINANCE_SECRETARY,entity:HQ_1-005_Finance-Secretary,naming sheet
entity:HQ_1_006_FINANCE_PROFSTAFF,entity:HQ_1-006_Finance-Profstaff,naming sheet
entity:HQ_1_007_FINANCE_CLERICAL_PROFSTAFF,entity:HQ_1-007_Finance-Clerical-Profstaff,naming sheet
entity:HQ_1_009_FINANCE_MANAGER,entity:HQ_1-009_Finance-Manager,ontology (reference holds several rooms)
entity:HQ_1_011_FINANCE_MANAGER,entity:HQ_1-011_Finance-Manager,naming sheet
entity:HQ_1_012_FINANCE_MANAGER,entity:HQ_1-012_Finance-Manager,naming sheet
entity:HQ_1_013_FINANCE_MANAGER,entity:HQ_1-013_Finance-Manager,naming sheet
entity:HQ_1_014_FINANCE_PROFSTAFF,entity:HQ_1-014_Finance-Profstaff,naming sheet
entity:HQ_1_015_FINANCE_PROFSTAFF,entity:HQ_1-015_Finance-Profstaff,naming sheet
entity:HQ_1_016_FINANCE_SECRETARY,entity:HQ_1-016_Finance-Secretary,naming sheet
entity:HQ_1_017_FINANCE_DIRECTOR_ENSUIT,entity:HQ_1-017_Finance-Director-Ensuit,naming sheet
entity:HQ_1_018_FINANCE_MANAGER,entity:HQ_1-018_Finance-Manager,naming sheet
entity:HQ_1_019_FINANCE_MANAGER,entity:HQ_1-019_Finance-Manager,naming sheet
entity:HQ_1_021_FINANCE_SECRETARY,entity:HQ_1-021_Finance-Secretary,naming sheet
entity:HQ_1_022_FINANCE_SECRETARY,entity:HQ_1-022_Finance-Secretary,naming sheet
entity:HQ_1_023_FINANCE_AUDITOR,entity:HQ_1-023_Finance-Auditor,naming sheet
entity:HQ_1_024_FINANCE_AUDITOR,entity:HQ_1-024_Finance-Auditor,naming sheet
entity:HQ_1_025_FINANCE_PROFSTAFF,entity:HQ_1-025_Finance-Profstaff,naming sheet
entity:HQ_1_026_FINANCE_PROFSTAFF,entity:HQ_1-026_Finance-Profstaff,naming sheet
entity:HQ_1_027_FINANCE_AUDITOR,entity:HQ_1-027_Finance-Auditor,naming sheet
entity:HQ_1_028_FINANCE_MANAGER,entity:HQ_1-028_Finance-Manager,naming sheet
entity:HQ_1_029_FINANCE_MANAGER,entity:HQ_1-029_Finance-Manager,naming sheet
entity:HQ_1_02_FINANCE_MANAGER,entity:HQ_1-020_Finance-Manager,naming sheet
entity:HQ_1_101_STAFF_LOUNGE,entity:HQ_1-101_Staff-Lounge,naming sheet
entity:HQ_1_102_PRAYER_ROOM_VESTIBULE,entity:HQ_1-102_Prayer-Room-Vestibule,ontology (reference holds several rooms)
entity:HQ_1_103_ABLUTION_ROOM,entity:HQ_1-103_Ablution-Room,ontology (reference holds several rooms)
entity:HQ_1_104_ABLUTION_ROOM,entity:HQ_1-104_Ablution-Room,ontology (reference holds several rooms)
entity:HQ_1_105_PRAYER_ROOM,entity:HQ_1-105_Prayer-Room,naming sheet
