subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
para:Chilled_Water_Loop_Network,owl:Class,rdfs:subClassOf,brick:HVAC_Equipment,,rdfs:label_en,Chilled Water Loop Network,,,,,,,,,,,,,,,,,,,,
entity:QNL,rec:Building,rec:isPartOf,entity:QF,rec:Site,rdfs:label_en,QNL Building,rdfs:label_en,Qatar Foundation,,,,,,,,,,,,,,,,,,
entity:QNL_B,rec:BasementLevel,rec:isPartOf,entity:QNL,rec:Building,rdfs:label_en,Basement,,,,,,,,,,,,,,,,,,,,
entity:QNL_L1,rec:Level,rec:isPartOf,entity:QNL,rec:Building,rdfs:label_en,Level 1,,,,,,,,,,,,,,,,,,,,
entity:QNL_L2,rec:Level,rec:isPartOf,entity:QNL,rec:Building,rdfs:label_en,Level 2,,,,,,,,,,,,,,,,,,,,
entity:QNL_T1,rec:Level,rec:isPartOf,entity:QNL,rec:Building,rdfs:label_en,Terrace 1,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_228_M1_HVAC_SHAFT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.228 M1 HVAC SHAFT,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_229_E1_ELEC_SHAFT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.229 E1 ELEC SHAFT,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_230_REFR_STORE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.230 REFR STORE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_231_DISH_WASING,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.231 DISH WASING,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_232_DRY_STORE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.232 DRY STORE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_233_WC5_RISER,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.233 WC5 RISER,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_234_E3_ELEC_SHAFT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.234 E3 ELEC SHAFT,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_235_M2_HVAC_SHAFT_ABOVE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.235 M2 HVAC SHAFT ABOVE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_236_WC1_RISER,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.236 WC1 RISER,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_237_CORRIDOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.237 CORRIDOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_238_M3_HVAC_SHAFT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.238 M3 HVAC SHAFT,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_002_KITCHEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.002 KITCHEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_003_FINANCE_COORDINATOR_&_BUSINESS_SUPPORT_OFCR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.003 FINANCE COORDINATOR & BUSINESS SUPPORT OFCR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_004_ANALOG_RESOURCES,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.004 ANALOG RESOURCES,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_005_DIGITAL_RESOURCES,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.005 DIGITAL RESOURCES,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_006_BUDGET_&_PAYMENT_1,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.006 BUDGET & PAYMENT 1,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_007_BUDGET_&_PAYMENT_2,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.007 BUDGET & PAYMENT 2,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_008_RECEIVING_AREA,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.008 RECEIVING AREA,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_009_RECEPTION_&_LOUNGE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.009 RECEPTION & LOUNGE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_010_PATIO_GARDEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.010 PATIO GARDEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_020_ENGINEERING,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.020 ENGINEERING,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_021_ARABIC_STUDIES,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.021 ARABIC STUDIES,,,,,,,,,,,,,,,,,,,,
