kind,source_identifier,ontology_identifier,rdfs:label_en
room,entity:QNL_B_228_M1_HVAC_SHAFT,entity:QNL_B_228_M1_HVAC_SHAFT,B.228_M1_HVAC_SHAFT
room,entity:QNL_B_229_E1_ELEC_SHAFT,entity:QNL_B_229_E1_ELEC_SHAFT,B.229_E1_ELEC_SHAFT
room,entity:QNL_B_230_REFR_STORE,entity:QNL_B_230_REFR_STORE,B.230_REFR_STORE
room,entity:QNL_B_231_DISH_WASING,entity:QNL_B_231_DISH_WASING,B.231_DISH_WASING
room,entity:QNL_B_232_DRY_STORE,entity:QNL_B_232_DRY_STORE,B.232_DRY_STORE
room,entity:QNL_B_233_WC5_RISER,entity:QNL_B_233_WC5_RISER,B.233_WC5_RISER
room,entity:QNL_B_234_E3_ELEC_SHAFT,entity:QNL_B_234_E3_ELEC_SHAFT,B.234_E3_ELEC_SHAFT
room,entity:QNL_B_235_M2_HVAC_SHAFT_ABOVE,entity:QNL_B_235_M2_HVAC_SHAFT_ABOVE,B.235_M2_HVAC_SHAFT_ABOVE
room,entity:QNL_B_236_WC1_RISER,entity:QNL_B_236_WC1_RISER,B.236_WC1_RISER
room,entity:QNL_B_237_CORRIDOR,entity:QNL_B_237_CORRIDOR,B.237_CORRIDOR
room,entity:QNL_B_238_M3_HVAC_SHAFT,entity:QNL_B_238_M3_HVAC_SHAFT,B.238_M3_HVAC_SHAFT
room,entity:QNL_B_002_KITCHEN,entity:QNL_B_002_KITCHEN,B.002_KITCHEN
room,entity:QNL_B_003_FINANCE_COORDINATOR_&_BUSINESS_SUPPORT_OFCR,entity:QNL_B_003_FINANCE_COORDINATOR_&_BUSINESS_SUPPORT_OFCR,B.003_FINANCE_COORDINATOR_&_BUSINESS_SUPPORT_OFCR
room,entity:QNL_B_004_ANALOG_RESOURCES,entity:QNL_B_004_ANALOG_RESOURCES,B.004_ANALOG_RESOURCES
room,entity:QNL_B_005_DIGITAL_RESOURCES,entity:QNL_B_005_DIGITAL_RESOURCES,B.005_DIGITAL_RESOURCES
room,entity:QNL_B_006_BUDGET_&_PAYMENT_1,entity:QNL_B_006_BUDGET_&_PAYMENT_1,B.006_BUDGET_&_PAYMENT_1
room,entity:QNL_B_007_BUDGET_&_PAYMENT_2,entity:QNL_B_007_BUDGET_&_PAYMENT_2,B.007_BUDGET_&_PAYMENT_2
room,entity:QNL_B_008_RECEIVING_AREA,entity:QNL_B_008_RECEIVING_AREA,B.008_RECEIVING_AREA
room,entity:QNL_B_009_RECEPTION_&_LOUNGE,entity:QNL_B_009_RECEPTION_&_LOUNGE,B.009_RECEPTION_&_LOUNGE
room,entity:QNL_B_010_PATIO_GARDEN,entity:QNL_B_010_PATIO_GARDEN,B.010_PATIO_GARDEN
room,entity:QNL_B_020_ENGINEERING,entity:QNL_B_020_ENGINEERING,B.020_ENGINEERING
