old_identifier,new_identifier,kind
entity:QNL_AHU_B_001,entity:QNL_AHU-B-001,equipment
entity:QNL_AHU_B_001_Aux-Coil,entity:QNL_AHU-B-001_Aux-Coil,part
entity:QNL_AHU_B_001_AvgSpcHumd_PV,entity:QNL_AHU-B-001_Average-Space-Humidity,point
entity:QNL_AHU_B_001_AvgSpcTemp_PV,entity:QNL_AHU-B-001_Average-Space-Temperature,point
entity:QNL_AHU_B_001_CHW-Coil,entity:QNL_AHU-B-001_CHW-Coil,part
entity:QNL_AHU_B_001_CHWRtnTemp_PV,entity:QNL_AHU-B-001_Chilled-Water-Return-Temperature,point
entity:QNL_AHU_B_001_CHWSupTemp_PV,entity:QNL_AHU-B-001_Chilled-Water-Supply-Temperature,point
entity:QNL_AHU_B_001_CoolVlv_PosFbk,entity:QNL_AHU-B-001_Cooling-Valve-Position-Feedback,point
entity:QNL_AHU_B_001_DuctHumd01_PV,entity:QNL_AHU-B-001_Duct-Humidity-1,point
entity:QNL_AHU_B_001_DuctHumd02_PV,entity:QNL_AHU-B-001_Duct-Humidity-2,point
entity:QNL_AHU_B_001_DuctHumd03_PV,entity:QNL_AHU-B-001_Duct-Humidity-3,point
entity:QNL_AHU_B_001_DuctHumd04_PV,entity:QNL_AHU-B-001_Duct-Humidity-4,point
entity:QNL_AHU_B_001_DuctHumd05_PV,entity:QNL_AHU-B-001_Duct-Humidity-5,point
entity:QNL_AHU_B_001_DuctHumd06_PV,entity:QNL_AHU-B-001_Duct-Humidity-6,point
entity:QNL_AHU_B_001_DuctHumd07_PV,entity:QNL_AHU-B-001_Duct-Humidity-7,point
entity:QNL_AHU_B_001_DuctTemp01_PV,entity:QNL_AHU-B-001_Duct-Temperature-1,point
entity:QNL_AHU_B_001_DuctTemp02_PV,entity:QNL_AHU-B-001_Duct-Temperature-2,point
entity:QNL_AHU_B_001_DuctTemp03_PV,entity:QNL_AHU-B-001_Duct-Temperature-3,point
entity:QNL_AHU_B_001_DuctTemp04_PV,entity:QNL_AHU-B-001_Duct-Temperature-4,point
entity:QNL_AHU_B_001_DuctTemp05_PV,entity:QNL_AHU-B-001_Duct-Temperature-5,point
