point_entity,timeseries_id,reason
entity:QNL_ELEC-MV1-ACB1-MFM_Electric-Power-Sensor,QNL_ELEC_MV1_ACB1_MFM.kWhpreviousdatamonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB1-MFM_Electric-Power-Sensor-k-Whpreviousdatadaily,QNL_ELEC_MV1_ACB1_MFM.kWhpreviousdatadaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB1-MFM_KW-Daily,QNL_ELEC_MV1_ACB1_MFM.KWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB1-MFM_KW-Monthly,QNL_ELEC_MV1_ACB1_MFM.KWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB1-MFM_MW-Daily,QNL_ELEC_MV1_ACB1_MFM.MWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB1-MFM_MW-Monthly,QNL_ELEC_MV1_ACB1_MFM.MWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB2-MFM_Electric-Power-Sensor,QNL_ELEC_MV1_ACB2_MFM.kWhpreviousdatadaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB2-MFM_Electric-Power-Sensor-k-Whpreviousdatamonthly,QNL_ELEC_MV1_ACB2_MFM.kWhpreviousdatamonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB2-MFM_KW-Daily,QNL_ELEC_MV1_ACB2_MFM.KWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB2-MFM_KW-Monthly,QNL_ELEC_MV1_ACB2_MFM.KWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB2-MFM_MW-Daily,QNL_ELEC_MV1_ACB2_MFM.MWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV1-ACB2-MFM_MW-Monthly,QNL_ELEC_MV1_ACB2_MFM.MWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-MV2-ACB10-MFM_Electric-Power-Sensor,QNL_ELEC_MV2_ACB10_MFM.kWhpreviousdatadaily,not on Selected_PARA_OS_Data_Points_v4.0
