old_subject,new_subject,named_by
entity:QNL_B_001A_BREAK-OUT-AREA,entity:QNL_B-001A_Break-Out-Area,naming sheet
entity:QNL_B_001_TECH-SERVICES-AND-COLLECTIONS-OFFICE,entity:QNL_B-001_Tech-Services-And-Collections-Office,naming sheet
entity:QNL_B_002_KITCHEN,entity:QNL_B-002_Kitchen,naming sheet
entity:QNL_B_003_FINANCE-COORDINATOR-BUSINESS-SUPPORT-OFCR,entity:QNL_B-003_Finance-Coordinator-Business-Support-Ofcr,naming sheet
entity:QNL_B_004_ANALOG-RESOURCES,entity:QNL_B-004_Analog-Resources,naming sheet
entity:QNL_B_005_DIGITAL-RESOURCES,entity:QNL_B-005_Digital-Resources,naming sheet
entity:QNL_B_006_BUDGET-PAYMENT-1,entity:QNL_B-006_Budget-Payment-1,naming sheet
entity:QNL_B_007_BUDGET-PAYMENT-2,entity:QNL_B-007_Budget-Payment-2,naming sheet
entity:QNL_B_008_RECEIVING-AREA,entity:QNL_B-008_Receiving-Area,naming sheet
entity:QNL_B_009_RECEPTION-LOUNGE,entity:QNL_B-009_Reception-Lounge,naming sheet
entity:QNL_B_010_PATIO-GARDEN,entity:QNL_B-010_Patio-Garden,ontology (reference holds several rooms)
entity:QNL_B_020_ENGINEERING,entity:QNL_B-020_Engineering,naming sheet
entity:QNL_B_021_ARABIC-STUDIES,entity:QNL_B-021_Arabic-Studies,naming sheet
entity:QNL_B_022_LICENSING-EXPERT,entity:QNL_B-022_Licensing-Expert,naming sheet
entity:QNL_B_023_ARTS-HUMANITIES,entity:QNL_B-023_Arts-Humanities,naming sheet
entity:QNL_B_024_AD-COLLECTIONS,entity:QNL_B-024_Ad-Collections,naming sheet
entity:QNL_B_025_SOCIAL-SCIENCES,entity:QNL_B-025_Social-Sciences,naming sheet
entity:QNL_B_026_BUSINESS-COMPUTING,entity:QNL_B-026_Business-Computing,naming sheet
entity:QNL_B_027_PROCUREMENT-SPC-PROCUREMENT-OFCR,entity:QNL_B-027_Procurement-Spc-Procurement-Ofcr,naming sheet
entity:QNL_B_028_STORAGE,entity:QNL_B-028_Storage,naming sheet
entity:QNL_B_029_LITERATURE-LANGUAGE,entity:QNL_B-029_Literature-Language,naming sheet
entity:QNL_B_030_SNR-P-COORDINATOR-P-COORDINATOR,entity:QNL_B-030_Snr-P-Coordinator-P-Coordinator,naming sheet
entity:QNL_B_031_JANITORS-ROOM,entity:QNL_B-031_Janitors-Room,ontology (reference holds several rooms)
entity:QNL_B_032_REST-ROOM-MEN,entity:QNL_B-032_Rest-Room-Men,ontology (reference holds several rooms)
entity:QNL_B_033_REST-ROOM-WOMEN,entity:QNL_B-033_Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_B_034_MEETING-ROOM,entity:QNL_B-034_Meeting-Room,naming sheet
entity:QNL_B_035_CORRIDOR-4,entity:QNL_B-035_Corridor-4,naming sheet
entity:QNL_B_036_COR-CORRIDOR-4A,entity:QNL_B-036_Cor-Corridor-4a,ontology (reference holds several rooms)
entity:QNL_B_036_REST-REST-ROOM-WOMEN,entity:QNL_B-036_Rest-Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_B_040_OFFICE,entity:QNL_B-040_Office,naming sheet
entity:QNL_B_041_DIGITIZATION-ROOM,entity:QNL_B-041_Digitization-Room,naming sheet
entity:QNL_B_042_RECEPTION-LOUNGE,entity:QNL_B-042_Reception-Lounge,ontology (reference holds several rooms)
entity:QNL_B_043_BINDING-PRESERVATION-SPACE,entity:QNL_B-043_Binding-Preservation-Space,naming sheet
