change,subject,was,now
rec:locatedIn,entity:QNL_VAV-B-S11-021,entity:QNL_B-009_Reception-Lounge,entity:QNL_B-001_Tech-Services-And-Collections-Office
rec:feeds,entity:QNL_VAV-B-S11-021,entity:QNL_B-009_Reception-Lounge,entity:QNL_B-001_Tech-Services-And-Collections-Office
rec:locatedIn,entity:QNL_VAV-B-S14-009,entity:QNL_B-041_Digitization-Room,entity:QNL_B-057_Office-Ad-For-Lit
rec:feeds,entity:QNL_VAV-B-S14-009,entity:QNL_B-041_Digitization-Room,entity:QNL_B-057_Office-Ad-For-Lit
rec:locatedIn,entity:QNL_VAV-B-S10-009,entity:QNL_B-204_Technical-Services,entity:QNL_B-203_Storage-Room
rec:feeds,entity:QNL_VAV-B-S10-009,entity:QNL_B-204_Technical-Services,entity:QNL_B-203_Storage-Room
rec:locatedIn,entity:QNL_VAV-2F-S12-026,entity:QNL_L2-015_40-Group-Study-Room-5,entity:QNL_L2-011_Circulation-Office
rec:feeds,entity:QNL_VAV-2F-S12-026,entity:QNL_L2-015_40-Group-Study-Room-5,entity:QNL_L2-011_Circulation-Office
rec:locatedIn,entity:QNL_VAV-2F-S12-029,entity:QNL_L2-016_40-Group-Study-Room-6,entity:QNL_L2-017_40-Group-Study-Room-7
rec:feeds,entity:QNL_VAV-2F-S12-029,entity:QNL_L2-016_40-Group-Study-Room-6,entity:QNL_L2-017_40-Group-Study-Room-7
rec:locatedIn,entity:QNL_VAV-2F-S13-005,entity:QNL_L2-022_Academic-Pers-Librarian,entity:QNL_L2-021_Libr-Com-Reo-Events-Spc
rec:feeds,entity:QNL_VAV-2F-S13-005,entity:QNL_L2-022_Academic-Pers-Librarian,entity:QNL_L2-021_Libr-Com-Reo-Events-Spc
rec:locatedIn,entity:QNL_VAV-2F-S13-004,entity:QNL_L2-025_Open-Office,entity:QNL_L2-014_Transl-Spc-Edi-Publications-Spc
rec:feeds,entity:QNL_VAV-2F-S13-004,entity:QNL_L2-025_Open-Office,entity:QNL_L2-014_Transl-Spc-Edi-Publications-Spc
rec:locatedIn,entity:QNL_VAV-B-S14-008,entity:QNL_B-059_Shell-Space,entity:QNL_B-041_Digitization-Room
rec:feeds,entity:QNL_VAV-B-S14-008,entity:QNL_B-059_Shell-Space,entity:QNL_B-041_Digitization-Room
rec:locatedIn,entity:QNL_CAV-B-S14-001,entity:QNL_B-051_Storage,entity:QNL_B-040_Office
rec:feeds,entity:QNL_CAV-B-S14-001,entity:QNL_B-051_Storage,entity:QNL_B-040_Office
