point,point_class,proposed_hasTimeseriesId,hasEntityId_TO_CONFIRM,meters
entity:QNL_UPS-Util-Electrical-Virtual-Meter-Consumption,brick:Electrical_Energy_Usage_Sensor,UPS_KWH_CALC,,entity:QNL
entity:QNL_UPS-Util-Electrical-Virtual-Meter-Demand,brick:Electric_Power_Sensor,UPS_KW_CALC,,entity:QNL
entity:QNL_HW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,HWPWR_KWTH_CALC,,entity:QNL
entity:QNL_HW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,HWPWR_KWT_CALC,,entity:QNL
entity:QNL_B_HW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,HWPWR_KWTH_CALC,,entity:QNL_B
entity:QNL_B_HW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,HWPWR_KWT_CALC,,entity:QNL_B
entity:QNL_L1_HW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,HWPWR_KWTH_CALC,,entity:QNL_L1
entity:QNL_L1_HW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,HWPWR_KWT_CALC,,entity:QNL_L1
entity:QNL_L2_HW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,HWPWR_KWTH_CALC,,entity:QNL_L2
entity:QNL_L2_HW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,HWPWR_KWT_CALC,,entity:QNL_L2
entity:QNL_P_HW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,HWPWR_KWTH_CALC,,entity:QNL_P
entity:QNL_P_HW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,HWPWR_KWT_CALC,,entity:QNL_P
entity:QNL_T1_HW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,HWPWR_KWTH_CALC,,entity:QNL_T1
entity:QNL_T1_HW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,HWPWR_KWT_CALC,,entity:QNL_T1
