family,kind,part,point,units,of,example_tag,historian_description,unit_of_measure,signal,match_phrase,match_phrase_source,point_kind,part_device,part_class_darcairo,part_class_score,part_class_from,part_status,darcairo_class,darcairo_score,darcairo_uses,darcairo_evidence,runner_up,runner_up_score,darcairo_class_in_brick,brick_candidate,brick_candidate_status,brick_candidate_score,proposed_class,proposed_from,status
AHUB,point,,EnableDisableCmd,15,15,QNL_AHUB001.EnableDisableCmd,"Enable/Disable Command (1=Enabled, 0=Disabled)",,discrete,"Enable/Disable Command (1=Enabled, 0=Disabled)",historian description,Command,,,,,,brick:On_Off_Command,0.14,68,class name,brick:On_Command,0.14,OK,brick:Disable_Command,OK,0.29,,,needs-you: no match - propose a para: class
AHUB,point,,RtnHumiditySP,15,15,QNL_AHUB001.RtnHumiditySP,QNL AHU-B0001 Basement Level AHU Plant Room B04,%rH,analog,return air humidity setpoint,expanded from the tag,Setpoint,,,,,,brick:Supply_Air_Static_Pressure_Setpoint,0.29,52,class name,para:Winter_Supply_Air_Temperature_Setpoint,0.29,OK,brick:Return_Air_Humidity_Setpoint,OK,1.00,brick:Return_Air_Humidity_Setpoint,Brick 1.4 exact,auto
AHUB,point,CHWRtnTemp,PV,15,15,QNL_AHUB001_CHWRtnTemp.PV,Process Value,°C,analog,chilled water return temperature,expanded from the tag,Sensor,,,,,,brick:Chilled_Water_Return_Temperature_Sensor,0.80,5,class name,brick:Entering_Chilled_Water_Temperature_Sensor,0.50,DEPRECATED,brick:Chilled_Water_Return_Temperature_Sensor,DEPRECATED,1.00,brick:Chilled_Water_Return_Temperature_Sensor,Dar Cairo,auto
AHUB,point,CHWSupTemp,PV,15,15,QNL_AHUB001_CHWSupTemp.PV,Process Value,°C,analog,chilled water supply temperature,expanded from the tag,Sensor,,,,,,brick:Chilled_Water_Supply_Temperature_Sensor,0.80,4,class name,brick:Chilled_Water_Return_Temperature_Sensor,0.50,DEPRECATED,brick:Chilled_Water_Supply_Temperature_Sensor,DEPRECATED,1.00,brick:Chilled_Water_Supply_Temperature_Sensor,Dar Cairo,auto
AHUB,part+point,CoolVlv,PosFbk,15,15,QNL_AHUB001_CoolVlv.PosFbk,QNL AHU-B0001 Cooling Valve TV-2000A,%,analog,position feedback,expanded from the tag,Sensor,valve,brick:Cooling_Valve,1.00,Dar Cairo,ok,brick:Valve_Position_Sensor,0.40,24,class name [matched on part+point],brick:Valve_Position_Command,0.12,OK,brick:Valve_Position_Sensor,OK,0.40,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,FrshAirTemp,PV,15,15,QNL_AHUB001_FrshAirTemp.PV,Process Value,°C,analog,fresh air temperature,expanded from the tag,Sensor,,,,,,brick:Outside_Air_Temperature_Sensor,0.75,3,class name,brick:Air_Temperature_Sensor,0.50,OK,brick:Outside_Air_Temperature_Sensor,OK,1.00,brick:Outside_Air_Temperature_Sensor,Dar Cairo,auto
AHUB,point,MixAirTemp,PV,15,15,QNL_AHUB001_MixAirTemp.PV,Process Value,°C,analog,mixed air temperature,expanded from the tag,Sensor,,,,,,brick:Air_Temperature_Sensor,0.50,1,class name,brick:Return_Air_Temperature_Sensor,0.40,OK,brick:Mixed_Air_Temperature_Sensor,OK,1.00,brick:Mixed_Air_Temperature_Sensor,Brick 1.4 exact,auto
AHUB,point,RtnAirDuctPrs,PV,15,15,QNL_AHUB001_RtnAirDuctPrs.PV,Process Value,Pa,analog,return air duct pressure,expanded from the tag,Sensor,,,,,,brick:Return_Air_Temperature_Sensor,0.33,24,class name,brick:Return_Air_Humidity_Sensor,0.33,OK,brick:Return_Air_Differential_Pressure_Sensor,OK,0.50,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,RtnAirHumd,PV,15,15,QNL_AHUB001_RtnAirHumd.PV,Process Value,%rH,analog,return air humidity,expanded from the tag,Sensor,,,,,,brick:Return_Air_Humidity_Sensor,0.75,20,class name,brick:Return_Air_Temperature_Sensor,0.40,OK,brick:Return_Air_Humidity_Sensor,OK,1.00,brick:Return_Air_Humidity_Sensor,Dar Cairo,auto
AHUB,point,RtnAirTemp,PV,15,15,QNL_AHUB001_RtnAirTemp.PV,Process Value,°C,analog,return air temperature,expanded from the tag,Sensor,,,,,,brick:Return_Air_Temperature_Sensor,0.75,24,class name,brick:Air_Temperature_Sensor,0.50,OK,brick:Return_Air_Temperature_Sensor,OK,1.00,brick:Return_Air_Temperature_Sensor,Dar Cairo,auto
AHUB,point,SupAirDuctPrs,PV,15,15,QNL_AHUB001_SupAirDuctPrs.PV,Process Value,Pa,analog,supply air duct pressure,expanded from the tag,Sensor,,,,,,brick:Supply_Air_Static_Pressure_Sensor,0.50,52,class name,brick:Supply_Air_Temperature_Sensor,0.33,OK,brick:Supply_Air_Differential_Pressure_Sensor,OK,0.50,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SupAirFlow,PV,15,15,QNL_AHUB001_SupAirFlow.PV,Process Value,m/s,analog,supply air flow,expanded from the tag,Sensor,,,,,,brick:Supply_Air_Flow_Sensor,0.75,18,class name,brick:Air_Flow_Sensor,0.50,OK,brick:Supply_Air_Flow_Sensor,OK,1.00,brick:Supply_Air_Flow_Sensor,Dar Cairo,auto
AHUB,point,SupAirHumd,PV,15,15,QNL_AHUB001_SupAirHumd.PV,Process Value,%rH,analog,supply air humidity,expanded from the tag,Sensor,,,,,,brick:Supply_Air_Humidity_Sensor,0.75,3,class name,brick:Supply_Air_Temperature_Sensor,0.40,OK,brick:Supply_Air_Humidity_Sensor,OK,1.00,brick:Supply_Air_Humidity_Sensor,Dar Cairo,auto
AHUB,point,SupAirTemp,PV,15,15,QNL_AHUB001_SupAirTemp.PV,Process Value,°C,analog,supply air temperature,expanded from the tag,Sensor,,,,,,brick:Supply_Air_Temperature_Sensor,0.75,20,class name,brick:Preheat_Supply_Air_Temperature_Sensor,0.60,OK,brick:Supply_Air_Temperature_Sensor,OK,1.00,brick:Supply_Air_Temperature_Sensor,Dar Cairo,auto
AHUB,part+point,SupFan,AutoManCmd,14,15,QNL_AHUB002_SupFan.AutoManCmd,Auto/Manual Command,,discrete,Auto/Manual Command,historian description,Command,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,brick:On_Off_Command,0.33,68,class name,brick:On_Command,0.33,OK,brick:Fan_Command,OK,0.40,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,SupFan,FTSP,14,15,QNL_AHUB002_SupFan.FTSP,Fail to Stop Alarm,,discrete,Fail to Stop Alarm,historian description,Alarm,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,brick:Alarm,0.25,33,class name,brick:Fire_Alarm,0.20,OK,brick:Supply_Air_Temperature_Alarm,OK,0.25,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,SupFan,FTST,14,15,QNL_AHUB002_SupFan.FTST,Fail to Start Alarm,,discrete,Fail to Start Alarm,historian description,Alarm,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,brick:Alarm,0.25,33,class name,brick:Fire_Alarm,0.20,OK,brick:Supply_Air_Temperature_Alarm,OK,0.25,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,SupFan,SpeedFbk,14,15,QNL_AHUB002_SupFan.SpeedFbk,Speed Feedback,%,analog,Speed Feedback,historian description,Sensor,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,para:Over_Speed_Sensor,0.25,1,class name,para:Engine_Speed_Sensor,0.25,not in Brick 1.4,brick:Speed_Sensor,OK,0.20,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,SupFan,TripAlm,14,15,QNL_AHUB002_SupFan.TripAlm,Trip Alarm,,discrete,Trip Alarm,historian description,Alarm,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,brick:Alarm,0.50,33,class name,brick:Fire_Alarm,0.33,OK,brick:Supply_Air_Temperature_Alarm,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,SupFan,kW,14,15,QNL_AHUB002_SupFan.kW,Power,%,analog,electric power,expanded from the tag,Sensor,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,brick:Electric_Power_Sensor,0.67,713,class name,brick:Thermal_Power_Sensor,0.25,OK,brick:Electric_Power_Sensor,OK,0.40,brick:Electric_Power_Sensor,Dar Cairo,auto
AHUB,part+point,SupFan,kWH,14,15,QNL_AHUB002_SupFan.kWH,Energy,kWh,analog,electrical energy,expanded from the tag,Sensor,fan,brick:Supply_Fan,1.00,Dar Cairo,ok,brick:Electrical_Energy_Usage_Sensor,0.50,819,class name,brick:Energy_Sensor,0.33,OK,brick:Electrical_Energy_Usage_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,AvgSpcHumd,PV,9,15,QNL_AHUB001_AvgSpcHumd.PV,Process Value,%rH,analog,average space humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.20,110,class name,brick:Return_Air_Humidity_Sensor,0.17,OK,brick:Humidity_Sensor,OK,0.25,,,needs-you: no match - propose a para: class
AHUB,point,AvgSpcTemp,PV,9,15,QNL_AHUB001_AvgSpcTemp.PV,Process Value,°C,analog,average space temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.25,110,class name,para:UPS_Temperature_Sensor,0.20,OK,brick:Average_Zone_Air_Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,IntrnlEADmpr,PositionCtrl,7,15,QNL_AHUB001_IntrnlEADmpr.PositionCtrl,QNL AHU-B0001 Internal Exhaust Air Damper MD-2000G,%,analog,position command,expanded from the tag,Command,damper,brick:Exhaust_Damper,0.50,Dar Cairo,needs-you: weak part match,brick:Damper_Position_Command,0.67,29,class name,brick:On_Off_Command,0.50,OK,brick:Damper_Position_Command,OK,0.50,brick:Damper_Position_Command,Dar Cairo,auto
AHUB,part+point,IntrnlFADmpr,PositionCtrl,7,15,QNL_AHUB001_IntrnlFADmpr.PositionCtrl,QNL AHU-B0001 Internal Fresh Air Damper MD-2000C,%,analog,position command,expanded from the tag,Command,damper,brick:Outside_Damper,0.50,Dar Cairo,needs-you: weak part match,brick:Damper_Position_Command,0.67,29,class name,brick:On_Off_Command,0.50,OK,brick:Damper_Position_Command,OK,0.50,brick:Damper_Position_Command,Dar Cairo,auto
AHUB,point,RtnAirFlow,PV,7,15,QNL_AHUB001_RtnAirFlow.PV,Process Value,m/s,analog,return air flow,expanded from the tag,Sensor,,,,,,brick:Return_Air_Flow_Sensor,0.75,15,class name,brick:Air_Flow_Sensor,0.50,OK,brick:Return_Air_Flow_Sensor,OK,1.00,brick:Return_Air_Flow_Sensor,Dar Cairo,auto
AHUB,part+point,IntrnlEADmpr,PositionFbk,6,15,QNL_AHUB001_IntrnlEADmpr.PositionFbk,QNL AHU-B0001 Internal Exhaust Air Damper MD-2000G,%,analog,position feedback,expanded from the tag,Sensor,damper,brick:Exhaust_Damper,0.50,Dar Cairo,needs-you: weak part match,brick:Damper_Position_Sensor,0.29,74,class name [matched on part+point],brick:Exhaust_Air_Temperature_Sensor,0.25,OK,brick:Damper_Position_Sensor,OK,0.29,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,IntrnlFADmpr,PositionFbk,6,15,QNL_AHUB001_IntrnlFADmpr.PositionFbk,QNL AHU-B0001 Internal Fresh Air Damper MD-2000C,%,analog,position feedback,expanded from the tag,Sensor,damper,brick:Outside_Damper,0.50,Dar Cairo,needs-you: weak part match,brick:Damper_Position_Sensor,0.29,74,class name [matched on part+point],brick:Outside_Air_Flow_Sensor,0.25,OK,brick:Damper_Position_Sensor,OK,0.29,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan,AutoManCmd,6,15,QNL_AHUB010_RtnFan.AutoManCmd,Auto/Manual Command,,discrete,Auto/Manual Command,historian description,Command,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:On_Off_Command,0.33,68,class name,brick:On_Command,0.33,OK,brick:Fan_Command,OK,0.40,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan,SpeedFbk,6,15,QNL_AHUB010_RtnFan.SpeedFbk,Speed Feedback,%,analog,Speed Feedback,historian description,Sensor,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,para:Over_Speed_Sensor,0.25,1,class name,para:Engine_Speed_Sensor,0.25,not in Brick 1.4,brick:Speed_Sensor,OK,0.20,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan,TripAlm,6,15,QNL_AHUB010_RtnFan.TripAlm,Trip Alarm,,discrete,Trip Alarm,historian description,Alarm,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:Alarm,0.50,33,class name,brick:Fire_Alarm,0.33,OK,brick:Return_Air_Temperature_Alarm,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan,kW,6,15,QNL_AHUB010_RtnFan.kW,Power,%,analog,electric power,expanded from the tag,Sensor,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:Electric_Power_Sensor,0.67,713,class name,brick:Thermal_Power_Sensor,0.25,OK,brick:Electric_Power_Sensor,OK,0.40,brick:Electric_Power_Sensor,Dar Cairo,auto
