equip,kind,token,class,source,unit,desc
entity:QNL_EF_BBV01,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV01,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV01,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV01,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV01,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_EF_BBV01,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV02,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV02,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV02,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV02,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_BBV02,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_EF_BBV02,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Plant Room CBS UPS Exhaust Fan 
entity:QNL_EF_B14,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Fire Command Exhaust Fan B.14
entity:QNL_EF_B14,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Fire Command Exhaust Fan B.14
entity:QNL_EF_B14,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Fire Command Exhaust Fan B.14
entity:QNL_EF_B14,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Fire Command Exhaust Fan B.14
entity:QNL_EF_B14,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Fire Command Exhaust Fan B.14
entity:QNL_EF_B13,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Sprinkler Pump Room Exhaust Fan
entity:QNL_EF_B13,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Sprinkler Pump Room Exhaust Fan
entity:QNL_EF_B13,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Sprinkler Pump Room Exhaust Fan
entity:QNL_EF_B13,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Sprinkler Pump Room Exhaust Fan
entity:QNL_EF_B13,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Sprinkler Pump Room Exhaust Fan
entity:QNL_EF_B09,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement level Generator Room Exhaust Fan B.09
entity:QNL_EF_B09,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement level Generator Room Exhaust Fan B.09
entity:QNL_EF_B09,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement level Generator Room Exhaust Fan B.09
entity:QNL_EF_B09,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement level Generator Room Exhaust Fan B.09
entity:QNL_EF_B09,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement level Generator Room Exhaust Fan B.09
entity:QNL_EF_B05,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Disinfection Freezer Exhaust Fan B.05
entity:QNL_EF_B05,POINT,LocSts,para:Local_Status,para (minted),,QNL Disinfection Freezer Exhaust Fan B.05
entity:QNL_EF_B05,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Disinfection Freezer Exhaust Fan B.05
entity:QNL_EF_B05,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Disinfection Freezer Exhaust Fan B.05
entity:QNL_EF_B05,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Disinfection Freezer Exhaust Fan B.05
entity:QNL_EF_B11,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Fuel Pump Room Exhaust Fan B.11
entity:QNL_EF_B11,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Fuel Pump Room Exhaust Fan B.11
entity:QNL_EF_B11,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Fuel Pump Room Exhaust Fan B.11
entity:QNL_EF_B11,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Fuel Pump Room Exhaust Fan B.11
entity:QNL_EF_B11,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Fuel Pump Room Exhaust Fan B.11
entity:QNL_EF_B10,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Trash Room Exhaust Fan B.10
entity:QNL_EF_B10,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Trash Room Exhaust Fan B.10
entity:QNL_EF_B10,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Trash Room Exhaust Fan B.10
entity:QNL_EF_B10,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Trash Room Exhaust Fan B.10
entity:QNL_EF_B10,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Trash Room Exhaust Fan B.10
entity:QNL_EF_B07,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B07,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B07,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B07,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,Speed Feedback
entity:QNL_EF_B07,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B07,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_EF_B07,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B07,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,Watt,Power
entity:QNL_EF_B08,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B08,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B08,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B08,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,Speed Feedback
entity:QNL_EF_B08,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B08,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_EF_B08,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement Level Loading Bay Delivery Bay Exhaus
entity:QNL_EF_B08,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,Watt,Power
entity:QNL_EF_B15,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement level Zone 2 Extract Fan for Fume Hoo
entity:QNL_EF_B15,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement level Zone 2 Extract Fan for Fume Hoo
entity:QNL_EF_B15,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement level Zone 2 Extract Fan for Fume Hoo
entity:QNL_EF_B15,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement level Zone 2 Extract Fan for Fume Hoo
entity:QNL_EF_B15,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement level Zone 2 Extract Fan for Fume Hoo
entity:QNL_EF_B16,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Basement level Zone 2 Extract Fan for Fumigati
entity:QNL_EF_B16,POINT,LocSts,para:Local_Status,para (minted),,QNL Basement level Zone 2 Extract Fan for Fumigati
entity:QNL_EF_B16,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Basement level Zone 2 Extract Fan for Fumigati
entity:QNL_EF_B16,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Basement level Zone 2 Extract Fan for Fumigati
entity:QNL_EF_B16,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Basement level Zone 2 Extract Fan for Fumigati
entity:QNL_EF_201,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Pantry Room Exhaust Fan 2.01
entity:QNL_EF_201,POINT,LocSts,para:Local_Status,para (minted),,QNL Pantry Room Exhaust Fan 2.01
entity:QNL_EF_201,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Pantry Room Exhaust Fan 2.01
entity:QNL_EF_201,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Pantry Room Exhaust Fan 2.01
entity:QNL_EF_201,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Pantry Room Exhaust Fan 2.01
entity:QNL_EF_RP02,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Roof Exhaust Fan RP-02
entity:QNL_EF_RP02,POINT,LocSts,para:Local_Status,para (minted),,QNL Roof Exhaust Fan RP-02
entity:QNL_EF_RP02,POINT,RunSts,brick:Run_Status,Brick 1.4,,QNL Roof Exhaust Fan RP-02
entity:QNL_EF_RP02,POINT,SpeedFbk,brick:Speed_Sensor,Brick 1.4,%,Speed Feedback
entity:QNL_EF_RP02,POINT,StartStopCmd,brick:Start_Stop_Command,Brick 1.4,,QNL Roof Exhaust Fan RP-02
entity:QNL_EF_RP02,POINT,StartStopCmdSts,brick:Start_Stop_Status,Brick 1.4,,Start/Stop Command Status
entity:QNL_EF_RP02,POINT,TripAlm,para:Trip_Status,Dar Cairo,,QNL Roof Exhaust Fan RP-02
entity:QNL_EF_RP02,POINT,kW,brick:Electric_Power_Sensor,Dar Cairo,kW,Power
entity:QNL_EF_RP02,POINT,kWH,brick:Electrical_Energy_Usage_Sensor,Dar Cairo,kWh,Energy
entity:QNL_EF_B06,POINT,AutoManCmd,para:Auto_Manual_Command,para (minted),,QNL Binding & Preservation Room Fume Hood Exhaust 
entity:QNL_EF_B06,POINT,LocSts,para:Local_Status,para (minted),,QNL Binding & Preservation Room Fume Hood Exhaust 
