change,subject,was,now
rec:locatedIn,entity:SSC_AHUB0005,entity:SSC_B-013_Chilled-Water,entity:SSC_B-014_Vent-Plant
rec:locatedIn,entity:SSC_CCUB0004,entity:SSC_B-023_Q-Tel,entity:SSC_B-017_MDF-2
rec:feeds,entity:SSC_CCUB0004,entity:SSC_B-023_Q-Tel,entity:SSC_B-017_MDF-2
rec:locatedIn,entity:SSC_CCUB0007,entity:SSC_B-017_MDF-2,entity:SSC_B-026_MDF-Ser-1
rec:feeds,entity:SSC_CCUB0007,entity:SSC_B-017_MDF-2,entity:SSC_B-026_MDF-Ser-1
rec:locatedIn,entity:SSC_DXB0001,entity:SSC_B-005_UPS,entity:SSC_B-022_Ssp
rec:locatedIn,entity:SSC_DXB0002,entity:SSC_B-005_UPS,entity:SSC_B-022_Ssp
rec:locatedIn,entity:SSC_DXB0006,entity:SSC_B-004_MV-Switch-Room,entity:SSC_B-033_Closet
rec:locatedIn,entity:SSC_DXB0007,entity:SSC_B-019_Fm-Storage,entity:SSC_B-003_Transformer
rec:locatedIn,entity:SSC_DXB0008,entity:SSC_B-019_Fm-Storage,entity:SSC_B-003_Transformer
rec:locatedIn,entity:SSC_DXB0009,entity:SSC_B-020_Fm-Storage,entity:SSC_B-002_HV-Room
rec:locatedIn,entity:SSC_DXB0010,entity:SSC_B-021_Fm-Storage,entity:SSC_B-002_HV-Room
rec:feeds,entity:SSC_FCU0003,entity:SSC_B-039_BMS,entity:SSC_B-030_Corridor
rec:locatedIn,entity:SSC_FCU0003,entity:SSC_B-039_BMS,entity:SSC_B-030_Corridor
rec:feeds,entity:SSC_FCU0009,entity:SSC_01-028_Corridor,entity:SSC_01-029_Shell-Space
rec:locatedIn,entity:SSC_FCU0009,entity:SSC_01-028_Corridor,entity:SSC_01-029_Shell-Space
rec:feeds,entity:SSC_FCU0010,entity:SSC_01-010_Corridor,entity:SSC_01-013_Corridor
rec:locatedIn,entity:SSC_FCU0010,entity:SSC_01-010_Corridor,entity:SSC_01-013_Corridor
rec:feeds,entity:SSC_GEFB0001,entity:Level7_Office0367,entity:SSC_B-008_Vent-Plant
rec:locatedIn,entity:SSC_GEFB0001,entity:Level7_Office0367,entity:SSC_B-008_Vent-Plant
rec:feeds,entity:SSC_KEF0103,entity:Level7_Office0367,entity:SSC_01-005_Kitchen
rec:locatedIn,entity:SSC_KEF0103,entity:Level7_Office0367,entity:SSC_01-005_Kitchen
rec:feeds,entity:SSC_KEF0303,entity:Level7_Office0367,entity:SSC_03-049_IT-Office
rec:locatedIn,entity:SSC_KEF0303,entity:Level7_Office0367,entity:SSC_03-049_IT-Office
rec:feeds,entity:SSC_TEF0101,entity:Level7_Office0367,entity:SSC_01-028_Corridor
rec:locatedIn,entity:SSC_TEF0101,entity:Level7_Office0367,entity:SSC_01-028_Corridor
rec:feeds,entity:SSC_TEF0102,entity:Level7_Office0367,entity:SSC_01-206_Corridor
rec:locatedIn,entity:SSC_TEF0102,entity:Level7_Office0367,entity:SSC_01-206_Corridor
rec:feeds,entity:SSC_TEF0301,entity:Level7_Office0367,entity:SSC_03-038_Server-Room
rec:locatedIn,entity:SSC_TEF0301,entity:Level7_Office0367,entity:SSC_03-038_Server-Room
rec:feeds,entity:SSC_TEF0302,entity:Level7_Office0367,entity:SSC_03-045_Janitors-Closet
rec:locatedIn,entity:SSC_TEF0302,entity:Level7_Office0367,entity:SSC_03-045_Janitors-Closet
rec:locatedIn,entity:SSC_VAV0009,entity:SSC_01-019_Prayer-Room,entity:SSC_01-001_Corridor
rec:locatedIn,entity:SSC_VAV0024,entity:SSC_01-001_Corridor,entity:SSC_01-003_Open-Space
rec:locatedIn,entity:SSC_VAV0029,entity:SSC_01-001_Corridor,entity:SSC_01-003_Open-Space
rec:locatedIn,entity:SSC_VAV0031,entity:SSC_01-001_Corridor,entity:SSC_01-003_Open-Space
rec:locatedIn,entity:SSC_VAV0033,entity:SSC_01-028_Corridor,entity:SSC_01-039_IDF-2
rec:locatedIn,entity:SSC_VAV0035,entity:SSC_01-010_Corridor,entity:SSC_01-028_Corridor
rec:locatedIn,entity:SSC_VAV0036,entity:SSC_01-022_Ablution-Room,entity:SSC_01-019_Prayer-Room
rec:locatedIn,entity:SSC_VAV0049,entity:SSC_02-002_Lobby,entity:SSC_02-003_Corridor
rec:locatedIn,entity:SSC_VAV0050,entity:SSC_02-003_Corridor,entity:SSC_02-002_Lobby
rec:locatedIn,entity:SSC_VAV0062,entity:SSC_03-006_Meeting-Room,entity:SSC_03-006A_Room
rec:locatedIn,entity:SSC_VAV0064,entity:SSC_03-006_Meeting-Room,entity:SSC_03-006B_Room
rec:locatedIn,entity:SSC_VAV0071,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:locatedIn,entity:SSC_VAV0072,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:locatedIn,entity:SSC_VAV0073,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:locatedIn,entity:SSC_VAV0074,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:locatedIn,entity:SSC_VAV0075,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:locatedIn,entity:SSC_VAV0076,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-031_Assoc-Directors-Office
rec:locatedIn,entity:SSC_VAV0077,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:locatedIn,entity:SSC_VAV0098,entity:SSC_03-049_IT-Office,entity:SSC_03-016_Lounge
rec:locatedIn,entity:SSC_VAV0099,entity:SSC_03-042_Corridor,entity:SSC_03-034_Corridor
rec:locatedIn,entity:SSC_VAV0101,entity:SSC_03-044_Corridor,entity:SSC_03-042_Corridor
rec:locatedIn,entity:SSC_VAV0102,entity:SSC_03-034_Corridor,entity:SSC_03-041_Corridor
rec:locatedIn,entity:SSC_VAV0107,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:locatedIn,entity:SSC_VAV0108,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:feeds,entity:SSC_DXB0001,entity:SSC_B-005_UPS,entity:SSC_B-022_Ssp
rec:feeds,entity:SSC_DXB0002,entity:SSC_B-005_UPS,entity:SSC_B-022_Ssp
rec:feeds,entity:SSC_DXB0006,entity:SSC_B-004_MV-Switch-Room,entity:SSC_B-033_Closet
rec:feeds,entity:SSC_DXB0007,entity:SSC_B-019_Fm-Storage,entity:SSC_B-003_Transformer
rec:feeds,entity:SSC_DXB0008,entity:SSC_B-019_Fm-Storage,entity:SSC_B-003_Transformer
rec:feeds,entity:SSC_DXB0009,entity:SSC_B-020_Fm-Storage,entity:SSC_B-002_HV-Room
rec:feeds,entity:SSC_DXB0010,entity:SSC_B-021_Fm-Storage,entity:SSC_B-002_HV-Room
rec:feeds,entity:SSC_VAV0009,entity:SSC_01-019_Prayer-Room,entity:SSC_01-001_Corridor
rec:feeds,entity:SSC_VAV0024,entity:SSC_01-001_Corridor,entity:SSC_01-003_Open-Space
rec:feeds,entity:SSC_VAV0029,entity:SSC_01-001_Corridor,entity:SSC_01-003_Open-Space
rec:feeds,entity:SSC_VAV0031,entity:SSC_01-001_Corridor,entity:SSC_01-003_Open-Space
rec:feeds,entity:SSC_VAV0033,entity:SSC_01-028_Corridor,entity:SSC_01-039_IDF-2
rec:feeds,entity:SSC_VAV0035,entity:SSC_01-010_Corridor,entity:SSC_01-028_Corridor
rec:feeds,entity:SSC_VAV0036,entity:SSC_01-022_Ablution-Room,entity:SSC_01-019_Prayer-Room
rec:feeds,entity:SSC_VAV0049,entity:SSC_02-002_Lobby,entity:SSC_02-003_Corridor
rec:feeds,entity:SSC_VAV0050,entity:SSC_02-003_Corridor,entity:SSC_02-002_Lobby
rec:feeds,entity:SSC_VAV0062,entity:SSC_03-006_Meeting-Room,entity:SSC_03-006A_Room
rec:feeds,entity:SSC_VAV0064,entity:SSC_03-006_Meeting-Room,entity:SSC_03-006B_Room
rec:feeds,entity:SSC_VAV0071,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:feeds,entity:SSC_VAV0072,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:feeds,entity:SSC_VAV0073,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:feeds,entity:SSC_VAV0074,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:feeds,entity:SSC_VAV0075,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:feeds,entity:SSC_VAV0076,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-031_Assoc-Directors-Office
rec:feeds,entity:SSC_VAV0077,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:feeds,entity:SSC_VAV0098,entity:SSC_03-049_IT-Office,entity:SSC_03-016_Lounge
rec:feeds,entity:SSC_VAV0099,entity:SSC_03-042_Corridor,entity:SSC_03-034_Corridor
