point,point_class,proposed_hasTimeseriesId,hasEntityId_TO_CONFIRM,meters
entity:SSC_Utility-Virtual-Meter-Consumption,brick:Electrical_Energy_Usage_Sensor,Utility_KWH,SSC,entity:SSC
entity:SSC_Utility-Virtual-Meter-Demand,brick:Electric_Power_Sensor,Utility_KW,SSC,entity:SSC
entity:SSC_SPWR-Util-Electrical-Virtual-Meter-Consumption,brick:Electrical_Energy_Usage_Sensor,SPWR_KWH_CALC,SSC,entity:SSC
entity:SSC_SPWR-Util-Electrical-Virtual-Meter-Demand,brick:Electric_Power_Sensor,SPWR_KW_CALC,SSC,entity:SSC
entity:SSC_Level-01_SPWR-Util-Electrical-Virtual-Meter-Consumption,brick:Electrical_Energy_Usage_Sensor,SPWR_KWH_CALC,SSC_Level_01,entity:SSC_Level-01
entity:SSC_Level-01_SPWR-Util-Electrical-Virtual-Meter-Demand,brick:Electric_Power_Sensor,SPWR_KW_CALC,SSC_Level_01,entity:SSC_Level-01
entity:SSC_Level-02_SPWR-Util-Electrical-Virtual-Meter-Consumption,brick:Electrical_Energy_Usage_Sensor,SPWR_KWH_CALC,SSC_Level_02,entity:SSC_Level-02
entity:SSC_Level-02_SPWR-Util-Electrical-Virtual-Meter-Demand,brick:Electric_Power_Sensor,SPWR_KW_CALC,SSC_Level_02,entity:SSC_Level-02
entity:SSC_Level-03_SPWR-Util-Electrical-Virtual-Meter-Consumption,brick:Electrical_Energy_Usage_Sensor,SPWR_KWH_CALC,SSC_Level_03,entity:SSC_Level-03
entity:SSC_Level-03_SPWR-Util-Electrical-Virtual-Meter-Demand,brick:Electric_Power_Sensor,SPWR_KW_CALC,SSC_Level_03,entity:SSC_Level-03
entity:SSC_Level-B1_SPWR-Util-Electrical-Virtual-Meter-Consumption,brick:Electrical_Energy_Usage_Sensor,SPWR_KWH_CALC,SSC_Level_B1,entity:SSC_Level-B1
entity:SSC_Level-B1_SPWR-Util-Electrical-Virtual-Meter-Demand,brick:Electric_Power_Sensor,SPWR_KW_CALC,SSC_Level_B1,entity:SSC_Level-B1
entity:SSC_Common-Util-Electrical-Virtual-Meter-Consumption,brick:Electrical_Energy_Usage_Sensor,COMMON_KWH_CALC,SSC,entity:SSC
