building,subject,rdfs:label_en,level segment,room ref
SSC,entity:SSC_01-001_Corridor,1.001 CORRIDOR,Level-01,01.001
SSC,entity:SSC_01-002_Shell-Space,1.002 SHELL SPACE,Level-01,01.002
SSC,entity:SSC_01-003_Open-Space,1.003 OPEN SPACE,Level-01,01.003
SSC,entity:SSC_01-008_AV-Room,1.008 AV ROOM,Level-01,01.008
SSC,entity:SSC_01-013_Corridor,1.013 CORRIDOR,Level-01,01.013
SSC,entity:SSC_01-014_Shell-Space,1.014 SHELL SPACE,Level-01,01.014
SSC,entity:SSC_01-015_Shell-Space,1.015 SHELL SPACE,Level-01,01.015
SSC,entity:SSC_01-016_Shell-Space,1.016 SHELL SPACE,Level-01,01.016
SSC,entity:SSC_01-018_Corridor,1.018 CORRIDOR,Level-01,01.018
SSC,entity:SSC_01-019_Prayer-Room,1.019 PRAYER ROOM,Level-01,01.019
SSC,entity:SSC_01-024_Corridor,1.024 CORRIDOR,Level-01,01.024
SSC,entity:SSC_01-027_IDF-1,1.027 IDF 1,Level-01,01.027
SSC,entity:SSC_01-028_Corridor,1.028 CORRIDOR,Level-01,01.028
SSC,entity:SSC_01-029_Room-No-42,1.029 ROOM NO 42,Level-01,01.029
SSC,entity:SSC_01-029_Room-No-43,1.029 ROOM NO 43,Level-01,01.029
SSC,entity:SSC_01-029_Room-No-44,1.029 ROOM NO 44,Level-01,01.029
SSC,entity:SSC_01-029_Shell-Space,1.029 SHELL SPACE,Level-01,01.029
SSC,entity:SSC_01-039_IDF-2,1.039 IDF 2,Level-01,01.039
SSC,entity:SSC_01-ST-4_Stair-4,ST-4 STAIR 4,Level-01,01.ST-4
SSC,entity:SSC_02-001_Foyer,2.001 FOYER,Level-02,02.001
SSC,entity:SSC_02-002_Lobby,2.002 LOBBY,Level-02,02.002
SSC,entity:SSC_02-003_Corridor,2.003 CORRIDOR,Level-02,02.003
SSC,entity:SSC_02-004_Corridor,2.004 CORRIDOR,Level-02,02.004
SSC,entity:SSC_02-005_Executive-Conference-Room,2.005 EXECUTIVE CONFERENCE ROOM,Level-02,02.005
SSC,entity:SSC_02-006_Conference-Room,2.006 CONFERENCE ROOM,Level-02,02.006
SSC,entity:SSC_03-001_Directors-Office,3.001 DIRECTORS OFFICE,Level-03,03.001
SSC,entity:SSC_03-002_Directors-Meeting-Room,3.002 DIRECTORS MEETING ROOM,Level-03,03.002
SSC,entity:SSC_03-003_Researchers-Office,3.003 RESEARCHERS OFFICE,Level-03,03.003
SSC,entity:SSC_03-004_Visitors-Cubicle,3.004 VISITORS CUBICLE,Level-03,03.004
SSC,entity:SSC_03-005_Researchers-Office,3.005 RESEARCHERS OFFICE,Level-03,03.005
SSC,entity:SSC_03-006A_Room,3.006A ROOM,Level-03,03.006A
SSC,entity:SSC_03-006B_Room,3.006B ROOM,Level-03,03.006B
SSC,entity:SSC_03-007_Operations-Manager,3.007 OPERATIONS MANAGER,Level-03,03.007
SSC,entity:SSC_03-008_Visitors-Cubicle,3.008 VISITORS CUBICLE,Level-03,03.008
SSC,entity:SSC_03-009_Researchers-Office,3.009 RESEARCHERS OFFICE,Level-03,03.009
SSC,entity:SSC_03-010_Researchers-Office,3.010 RESEARCHERS OFFICE,Level-03,03.010
SSC,entity:SSC_03-011_Visitors-Cubicle,3.011 VISITORS CUBICLE,Level-03,03.011
SSC,entity:SSC_03-012_Researchers-Office,3.012 RESEARCHERS OFFICE,Level-03,03.012
SSC,entity:SSC_03-013_Researchers-Office,3.013 RESEARCHERS OFFICE,Level-03,03.013
SSC,entity:SSC_03-014_Visitors-Cubicle,3.014 VISITORS CUBICLE,Level-03,03.014
SSC,entity:SSC_03-015_Researchers-Office,3.015 RESEARCHERS OFFICE,Level-03,03.015
SSC,entity:SSC_03-016_Lounge,3.016 LOUNGE,Level-03,03.016
SSC,entity:SSC_03-017_Researchers-Office,3.017 RESEARCHERS OFFICE,Level-03,03.017
SSC,entity:SSC_03-018_Visitors-Cubicle,3.018 VISITORS CUBICLE,Level-03,03.018
SSC,entity:SSC_03-019_IT-Managers-Office,3.019 IT MANAGERS OFFICE,Level-03,03.019
SSC,entity:SSC_03-020_Researchers-Office,3.020 RESEARCHERS OFFICE,Level-03,03.020
SSC,entity:SSC_03-021_Visitors-Cubicle,3.021 VISITORS CUBICLE,Level-03,03.021
SSC,entity:SSC_03-022_Researchers-Office,3.022 RESEARCHERS OFFICE,Level-03,03.022
SSC,entity:SSC_03-023_Researchers-Office,3.023 RESEARCHERS OFFICE,Level-03,03.023
SSC,entity:SSC_03-024_Visitors-Cubicle,3.024 VISITORS CUBICLE,Level-03,03.024
SSC,entity:SSC_03-025_Secretarial-Area,3.025 SECRETARIAL AREA,Level-03,03.025
SSC,entity:SSC_03-026_Meeting-Room,3.026 MEETING ROOM,Level-03,03.026
SSC,entity:SSC_03-027_Researchers-Office,3.027 RESEARCHERS OFFICE,Level-03,03.027
SSC,entity:SSC_03-028_Visitors-Cubicle,3.028 VISITORS CUBICLE,Level-03,03.028
SSC,entity:SSC_03-029_Researchers-Office,3.029 RESEARCHERS OFFICE,Level-03,03.029
SSC,entity:SSC_03-030_Assoc-Directors-Meeting-Room,3.030 ASSOC DIRECTORS MEETING ROOM,Level-03,03.030
SSC,entity:SSC_03-031_Assoc-Directors-Office,3.031 ASSOC DIRECTORS OFFICE,Level-03,03.031
SSC,entity:SSC_03-032_General-Office-Area,3.032 GENERAL OFFICE AREA,Level-03,03.032
SSC,entity:SSC_03-033_Printing,3.033 PRINTING,Level-03,03.033
SSC,entity:SSC_03-034_Corridor,3.034 CORRIDOR,Level-03,03.034
SSC,entity:SSC_03-041_Corridor,3.041 CORRIDOR,Level-03,03.041
SSC,entity:SSC_03-042_Corridor,3.042 CORRIDOR,Level-03,03.042
SSC,entity:SSC_B-008_Vent-Plant,B.008 VENT PLANT,Level-B1,B.008
SSC,entity:SSC_B-013_Chilled-Water,B.013 CHILLED WATER,Level-B1,B.013
SSC,entity:SSC_B-014_Vent-Plant,B.014 VENT PLANT,Level-B1,B.014
SSC,entity:SSC_B-015_Entrance,B.015 ENTRANCE,Level-B1,B.015
SSC,entity:SSC_B-016_Sprinkler-And-Water,B.016 SPRINKLER AND WATER,Level-B1,B.016
SSC,entity:SSC_B-025_Main-Sec-Control-Room,B.025 MAIN SEC CONTROL ROOM,Level-B1,B.025
SSC,entity:SSC_B-030_Corridor,B.030 CORRIDOR,Level-B1,B.030
