building,subject,rdfs:label_en,level,room ref,equipment count,equipment types,equipment tags,included,not included
SSC,entity:SSC_01-001_Corridor,1.001 CORRIDOR,Level-01,01.001,1,VAV,VAV0009,1,0
SSC,entity:SSC_01-002_Shell-Space,1.002 SHELL SPACE,Level-01,01.002,4,VAV,"VAV0025, VAV0026, VAV0027, VAV0028",4,0
SSC,entity:SSC_01-003_Open-Space,1.003 OPEN SPACE,Level-01,01.003,7,VAV,"VAV0022, VAV0023, VAV0024, VAV0029, VAV0031, VAV0034, VAV0039",7,0
SSC,entity:SSC_01-008_AV-Room,1.008 AV ROOM,Level-01,01.008,2,"FCU, VAV","FCU0004, VAV0037",0,2
SSC,entity:SSC_01-013_Corridor,1.013 CORRIDOR,Level-01,01.013,2,"FCU, VAV","FCU0010, VAV0021",2,0
SSC,entity:SSC_01-014_Shell-Space,1.014 SHELL SPACE,Level-01,01.014,3,VAV,"VAV0002, VAV0003, VAV0004",3,0
SSC,entity:SSC_01-015_Shell-Space,1.015 SHELL SPACE,Level-01,01.015,3,VAV,"VAV0005, VAV0006, VAV0007",3,0
SSC,entity:SSC_01-016_Shell-Space,1.016 SHELL SPACE,Level-01,01.016,1,VAV,VAV0030,1,0
SSC,entity:SSC_01-018_Corridor,1.018 CORRIDOR,Level-01,01.018,1,VAV,VAV0032,1,0
SSC,entity:SSC_01-019_Prayer-Room,1.019 PRAYER ROOM,Level-01,01.019,6,VAV,"VAV0010, VAV0011, VAV0012, VAV0013, VAV0014, VAV0036",6,0
SSC,entity:SSC_01-024_Corridor,1.024 CORRIDOR,Level-01,01.024,1,VAV,VAV0008,1,0
SSC,entity:SSC_01-027_IDF-1,1.027 IDF 1,Level-01,01.027,2,FCU,"FCU0005, FCU0006",0,2
SSC,entity:SSC_01-028_Corridor,1.028 CORRIDOR,Level-01,01.028,1,VAV,VAV0035,1,0
SSC,entity:SSC_01-029_Room-No-42,1.029 ROOM NO 42,Level-01,01.029,1,VAV,VAV0015,1,0
SSC,entity:SSC_01-029_Room-No-43,1.029 ROOM NO 43,Level-01,01.029,1,VAV,VAV0016,1,0
SSC,entity:SSC_01-029_Room-No-44,1.029 ROOM NO 44,Level-01,01.029,1,VAV,VAV0017,1,0
SSC,entity:SSC_01-029_Shell-Space,1.029 SHELL SPACE,Level-01,01.029,4,"FCU, VAV","FCU0009, VAV0018, VAV0019, VAV0020",4,0
SSC,entity:SSC_01-039_IDF-2,1.039 IDF 2,Level-01,01.039,3,"FCU, VAV","FCU0007, FCU0008, VAV0033",1,2
SSC,entity:SSC_01-ST-4_Stair-4,ST-4 STAIR 4,Level-01,01.ST-4,1,VAV,VAV0038,1,0
SSC,entity:SSC_02-001_Foyer,2.001 FOYER,Level-02,02.001,2,VAV,"VAV0044, VAV0045",2,0
SSC,entity:SSC_02-002_Lobby,2.002 LOBBY,Level-02,02.002,4,VAV,"VAV0046, VAV0047, VAV0048, VAV0050",4,0
SSC,entity:SSC_02-003_Corridor,2.003 CORRIDOR,Level-02,02.003,1,VAV,VAV0049,1,0
SSC,entity:SSC_02-004_Corridor,2.004 CORRIDOR,Level-02,02.004,1,VAV,VAV0043,1,0
SSC,entity:SSC_02-005_Executive-Conference-Room,2.005 EXECUTIVE CONFERENCE ROOM,Level-02,02.005,3,VAV,"VAV0041, VAV0042, VAV0051",0,3
SSC,entity:SSC_02-006_Conference-Room,2.006 CONFERENCE ROOM,Level-02,02.006,2,VAV,"VAV0040, VAV0052",2,0
SSC,entity:SSC_03-001_Directors-Office,3.001 DIRECTOR S OFFICE,Level-03,03.001,1,VAV,VAV0070,0,1
SSC,entity:SSC_03-002_Director-Meeting-Room,3.002 DIRECTOR MEETING ROOM,Level-03,03.002,2,VAV,"VAV0068, VAV0069",0,2
SSC,entity:SSC_03-003_Researcher-Office,3.003 RESEARCHER OFFICE,Level-03,03.003,1,VAV,VAV0067,1,0
SSC,entity:SSC_03-004_Visitors-Cubicle,3.004 VISITOR S CUBICLE,Level-03,03.004,1,VAV,VAV0066,1,0
SSC,entity:SSC_03-005_Researcher-Office,3.005 RESEARCHER OFFICE,Level-03,03.005,1,VAV,VAV0065,1,0
SSC,entity:SSC_03-006A_Room,3.006A ROOM,Level-03,03.006A,1,VAV,VAV0062,1,0
SSC,entity:SSC_03-006B_Room,3.006B ROOM,Level-03,03.006B,1,VAV,VAV0064,1,0
SSC,entity:SSC_03-007_Operations-Managers,3.007 OPERATIONS MANAGERS,Level-03,03.007,1,VAV,VAV0061,1,0
SSC,entity:SSC_03-008_Visitors-Cubicle,3.008 VISITOR S CUBICLE,Level-03,03.008,1,VAV,VAV0060,1,0
SSC,entity:SSC_03-009_Researcher-Office,3.009 RESEARCHER OFFICE,Level-03,03.009,1,VAV,VAV0059,1,0
SSC,entity:SSC_03-010_Researcher-Office,3.010 RESEARCHER OFFICE,Level-03,03.010,1,VAV,VAV0058,1,0
SSC,entity:SSC_03-011_Visitors-Cubicle,3.011 VISITOR S CUBICLE,Level-03,03.011,1,VAV,VAV0057,1,0
SSC,entity:SSC_03-012_Researcher-Office,3.012 RESEARCHER OFFICE,Level-03,03.012,1,VAV,VAV0056,1,0
SSC,entity:SSC_03-013_Researcher-Office,3.013 RESEARCHER OFFICE,Level-03,03.013,1,VAV,VAV0055,1,0
SSC,entity:SSC_03-014_Visitors-Cubicle,3.014 VISITOR S CUBICLE,Level-03,03.014,1,VAV,VAV0054,1,0
SSC,entity:SSC_03-015_Researcher-Office,3.015 RESEARCHER OFFICE,Level-03,03.015,1,VAV,VAV0053,1,0
SSC,entity:SSC_03-016_Lounge,3.016 LOUNGE,Level-03,03.016,3,VAV,"VAV0096, VAV0097, VAV0098",3,0
SSC,entity:SSC_03-017_Researcher-Office,3.017 RESEARCHER OFFICE,Level-03,03.017,1,VAV,VAV0095,1,0
SSC,entity:SSC_03-018_Visitors-Cubicle,3.018 VISITOR S CUBICLE,Level-03,03.018,1,VAV,VAV0094,1,0
SSC,entity:SSC_03-019_IT-Managers-Office,3.019 IT MANAGERS OFFICE,Level-03,03.019,1,VAV,VAV0093,1,0
SSC,entity:SSC_03-020_Researcher-Office,3.020 RESEARCHER OFFICE,Level-03,03.020,1,VAV,VAV0092,1,0
SSC,entity:SSC_03-021_Visitors-Cubicle,3.021 VISITOR S CUBICLE,Level-03,03.021,1,VAV,VAV0091,1,0
SSC,entity:SSC_03-022_Researcher-Office,3.022 RESEARCHER OFFICE,Level-03,03.022,1,VAV,VAV0090,1,0
SSC,entity:SSC_03-023_Researcher-Office,3.023 RESEARCHER OFFICE,Level-03,03.023,1,VAV,VAV0089,1,0
SSC,entity:SSC_03-024_Visitors-Cubicle,3.024 VISITOR S CUBICLE,Level-03,03.024,1,VAV,VAV0088,1,0
SSC,entity:SSC_03-025_Secretarial-Area,3.025 SECRETARIAL AREA,Level-03,03.025,1,VAV,VAV0087,1,0
SSC,entity:SSC_03-026_Meeting-Room,3.026 MEETING ROOM,Level-03,03.026,3,VAV,"VAV0084, VAV0085, VAV0086",3,0
SSC,entity:SSC_03-027_Researcher-Office,3.027 RESEARCHER OFFICE,Level-03,03.027,1,VAV,VAV0083,1,0
SSC,entity:SSC_03-028_Visitors-Cubicle,3.028 VISITOR S CUBICLE,Level-03,03.028,1,VAV,VAV0082,1,0
SSC,entity:SSC_03-029_Researcher-Office,3.029 RESEARCHER OFFICE,Level-03,03.029,1,VAV,VAV0081,1,0
SSC,entity:SSC_03-030_Assoc-Directors-Meeting-Room,3.030 ASSOC DIRECTORS MEETING ROOM,Level-03,03.030,2,VAV,"VAV0079, VAV0080",0,2
SSC,entity:SSC_03-031_Assoc-Directors-Office,3.031 ASSOC DIRECTORS OFFICE,Level-03,03.031,2,VAV,"VAV0076, VAV0078",2,0
SSC,entity:SSC_03-032_General-Office-Area,3.032 GENERAL OFFICE AREA,Level-03,03.032,8,VAV,"VAV0071, VAV0072, VAV0073, VAV0074, VAV0075, VAV0077, VAV0107, VAV0108",8,0
SSC,entity:SSC_03-033_Printing,3.033 PRINTING,Level-03,03.033,1,FCU,FCU0011,1,0
