row,tag,D room as per drawings,J room per BMS screen,K screen,verdict,note
880,FCU_B_001,IDF ROOM B.155,IDF Rm,QNL/BF-8.jpg,SAME,the dot is in the first of the small cells along the north-west wall; the IDF Rm label sits over the second
882,FCU_B_003,IDF (Corridor) B.062,IDF,QNL/BF-2.jpg,SAME,
883,FCU_B_004,IDF FM Storage B.215,FM Storage,QNL/BF-10.jpg,SAME,the dot is at the west wall in the band that carries the FM Storage and Storage labels
887,FCU_B_008,GAS SUPPRESSION ROOM B.087,Cell between Gas Suppression and Server Rm,QNL/BF-3.jpg,DIFF,"the dot is in the middle cell, one wall east of the cell the Gas Suppression label points into; column D says GAS SUPPRESSION ROOM B.087"
890,FCU_B_011,Plant Room 1 B.063,Plant Rm 1,QNL/BF-2.jpg,SAME,
891,FCU_B_012,Plant Room 1 B.063,Plant Rm 1,QNL/BF-2.jpg,SAME,
892,FCU_B_013,Plant Room 2 B.070,Plant Rm 2,QNL/BF-2.jpg,SAME,
893,FCU_B_014,Plant Room 2 B.070,Plant Rm 2,QNL/BF-2.jpg,SAME,
894,FCU_B_015,Plant Room 3 B.110,Plant Rm 3 / Corridor 5 (open plan),QNL/BF-6.jpg,OPEN,open plan - Plant Rm 3 end
895,FCU_B_016,Plant Room 3 B.110,Plant Rm 3 / Corridor 5 (open plan),QNL/BF-6.jpg,OPEN,open plan - Plant Rm 3 end
896,FCU_B_017,Plant Room 3 B.110,Plant Rm 3 / Corridor 5 (open plan),QNL/BF-6.jpg,OPEN,open plan - Plant Rm 3 end
897,FCU_B_018,Plant Room 4 B.220,Plant Rm 4,QNL/BF-10.jpg,SAME,
898,FCU_B_019,Plant Room 4 B.220,Plant Rm 4,QNL/BF-10.jpg,SAME,
899,FCU_B_020,Plant Room 4 B.220,Plant Rm 4,QNL/BF-10.jpg,SAME,
900,FCU_B_021,Plant Room 4 B.220,Plant Rm 4,QNL/BF-10.jpg,SAME,
901,FCU_B_022,FM Storage B.210,FM Storage,QNL/BF-10.jpg,SAME,
902,FCU_B_023,FM Storage B.210,FM Storage,QNL/BF-10.jpg,SAME,
903,FCU_B_024,PH Plant ROOM B.211,PH Plant,QNL/BF-10.jpg,SAME,
905,FCU_B_026,MISTING PUMP ROOM B.212,Misting System,QNL/BF-10.jpg,SAME,
907,FCU_B_028,Sorting Shelving Room B.121,Sorting Shelving Rm,QNL/BF-2.jpg,SAME,
909,FCU_B_030,WATER FEATURE ROOM B.226,Pump Rm 4,QNL/BF-10.jpg,DIFF,the dot is inside the Pump Rm 4 box; column D says WATER FEATURE ROOM B.226
911,FCU_B_032,Shell Space-Special Collection B.132,Shell Space-Special Collection,QNL/BF-3.jpg,SAME,
912,FCU_B_033,Shell Space-Special Collection B.132,Shell Space-Special Collection,QNL/BF-3.jpg,SAME,
913,FCU_B_034,Shell Space-Special Collection B.132,Shell Space-Special Collection,QNL/BF-3.jpg,SAME,
914,FCU_B_035,Shell Space-Special Collection B.132,Shell Space-Special Collection,QNL/BF-3.jpg,SAME,
920,VAV_1F_S11_002,Group Study Room2 L1.027,Study Rm2,QNL/FF.jpg,SAME,
921,VAV_1F_S11_003,Group Study Room3 L1.028,Cell between Study Rm2 and Study Rm 4,QNL/FF.jpg,SAME,the cell carries no label; Study Rm3 labels the large room to the east
922,VAV_1F_S11_004,Information Literacy Instr 1 L1.020,Info. Literacy Instr.1,QNL/FF.jpg,SAME,
923,VAV_1F_S11_005,Information Literacy Instr 1 L1.020,Info. Literacy Instr.1,QNL/FF.jpg,SAME,
924,VAV_1F_S11_006,Infor. Lteracy Instr.2 L1.021,Info. Literacy Instr.2 / Writing Head (open plan),QNL/FF.jpg,OPEN,open plan
928,VAV_1F_S11_010,Infor. Lteracy Instr.2 L1.021,Info. Literacy Instr.2 / Writing Head (open plan),QNL/FF.jpg,OPEN,open plan
933,VAV_1F_S11_015,Computer Classroom L1.022,Computer Class Rm,QNL/FF.jpg,SAME,
934,VAV_1F_S11_016,Computer Classroom L1.022,Computer Class Rm,QNL/FF.jpg,SAME,
937,VAV_1F_S11_019,Computer Classroom L1.022,Info. Literacy Instr.2 / Writing Head (open plan),QNL/FF.jpg,DIFF,"the dot is in the Info. Literacy Instr.2 / Writing Head cell, two walls west of the Computer Class Rm where column D puts it"
938,VAV_1F_S11_020,Computer Classroom L1.022,Computer Class Rm,QNL/FF.jpg,SAME,
940,VAV_1F_S11_022,Group Study Room 4 L1.029,Study Rm 4,QNL/FF.jpg,SAME,
942,VAV_1F_S11_088,CHILDRENS LIBRARY SLOPE  CORRIDOR L1.023,Study Rm3,QNL/FF.jpg,DIFF,the dot is inside the Study Rm3 room; column D says CHILDRENS LIBRARY SLOPE CORRIDOR L1.023
950,VAV_1F_S15_006,Children Library - Pre School Reading & Playing L1.047,Children Library,QNL/FF.jpg,SAME,
951,VAV_1F_S15_007,Children Library - Pre School Reading & Playing L1.047,Children Library,QNL/FF.jpg,SAME,
952,VAV_1F_S15_008,Children Library - Pre School Reading & Playing L1.047,Children Library,QNL/FF.jpg,SAME,
956,VAV_1F_S15_012,Staff Office L1.048,Yellow cell south of Staff Office,QNL/FF.jpg,SAME,the cell carries no label of its own; the Staff Office cell is the one above it
964,VAV_1F_S15_039S,Staff Office L1.048,Head Librarian Office,QNL/FF.jpg,DIFF,"the dot is in the Head Librarian Office cell, one wall north of the Staff Office cell where column D puts it"
966,VAV_1F_S15_096,Multipurpose Room L1.041,Multipurpose Rm,QNL/FF.jpg,SAME,
967,VAV_1F_S15_097,Multipurpose Room L1.041,Multipurpose Rm,QNL/FF.jpg,SAME,
1056,VAV_B_S10_010,TECHNICAL SERVICES B.204,Technical Services,QNL/BF-5.jpg,SAME,
1057,VAV_B_S10_011,TECHNICAL SERVICES B.204,Technical Services,QNL/BF-5.jpg,SAME,
1062,VAV_B_S10_016,MULTIMEDIA PRESENTATION B.205,Instruction Presentation,QNL/BF-5.jpg,SAME,
1063,VAV_B_S10_017,MULTIMEDIA PRESENTATION B.205,Instruction Presentation,QNL/BF-5.jpg,SAME,
1066,VAV_B_S10_020,Reserchers Reading Area B.207,Researchers Reading Area,QNL/BF-7.jpg,SAME,
1067,VAV_B_S10_021,Reserchers Reading Area B.207,Researchers Reading Area,QNL/BF-7.jpg,SAME,
1068,VAV_B_S10_022,Reserchers Reading Area B.207,Researchers Reading Area,QNL/BF-7.jpg,SAME,
1069,VAV_B_S10_023,Reserchers Reading Area B.207,Researchers Reading Area,QNL/BF-7.jpg,SAME,
1070,VAV_B_S10_024,DIGITISATION AREA B.200,Digitization / Instruction Outreach (open plan),QNL/BF-5.jpg,OPEN,open plan
1071,VAV_B_S11_001,Break Out Area B.001A,Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - west end
1072,VAV_B_S11_002,Break Out Area B.001A,Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - west end
1073,VAV_B_S11_003,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan - west end
1074,VAV_B_S11_004,"Tech, Services & Collections Office B.001",Break Out Area / Tech.Services & Collections Office (open plan),QNL/BF.jpg,OPEN,open plan
