screen,tag,reason
North Building/FF/FF-1,NB-VAV4515-EV4516,"its leader ends beside the dot NB-VAV4525-EV4526 also walks to, in Conference Room N-1205. One dot serves one unit and nothing on the screen says which of the two owns it"
North Building/FF/FF-1,NB-VAV4555-EV4556,"the walk ran out in open floor south of the office range, in no named room"
North Building/FF/FF-1,NB-VAV4575-EV4576,the endpoint sits on the wall between Corridor N-1202A and Storage Room N-1215 and could be either
North Building/FF/FF-1,NB-FCU4916,endpoint falls between the Stair 1 N-1ST01 label and the stair graphic; the room polygon there is not drawn closed
North Building/FF/FF-1,NB-FCU4910,as NB-FCU4916 - same unnamed area beside Stair 1 N-1ST01
North Building/FF/FF-3,NB-CAV5720-EV5721,the dot sits on the wall between Normal Elec. Room N-1136 and Emer. Elec. N-1137 and could be either
North Building/GF/GF-1,NB-VAV4140-EV4141,the dot sits exactly on the wall between Conf. Room N-0233 and Storage Room N-0237 and could be either
North Building/GF/GF-1,NB-VAV4081A-VEV4083A,"the leader could not be followed clear of the widget - this unit is drawn in alarm, boxed in red, and the box border runs where the leader leaves"
North Building/GF/GF-1,NB-VAV4080B-VEV4082B,as NB-VAV4081A-VEV4083A - no leader could be followed away from the widget
North Building/GF/GF-1,NB-VAV4070B-VEV4073B,as NB-VAV4081A-VEV4083A - no leader could be followed away from the widget
North Building/GF/GF-1,NB-FEV4214,"the walk ended below the plan among the widget labels, not in any room"
North Building/GF/GF-1,NB-FEV4215,as NB-FEV4214 - the walk never entered the plan
North Building/GF/GF-1,NB-CAV4030,"the walk ended at the right-hand edge of the plan, outside any drawn room"
North Building/GF/GF-1,NB-VAV4211,"its leader converges with NB-VAV4210, NB-VEV4213A and NB-VEV4213B on one point; nothing on the screen says which owns it"
North Building/GF/GF-1,NB-VAV4212,as NB-VAV4211 - four leaders share one endpoint
North Building/GF/GF-1,NB-VEV4213A,as NB-VAV4211 - four leaders share one endpoint
North Building/GF/GF-1,NB-VEV4213B,as NB-VAV4211 - four leaders share one endpoint
North Building/FF/FF-5,NB-VAV5540-EV5541,the dot falls in the narrow angled band of small rooms between Normal Elec. N-1113 and Emergency Elec. N-1102; at the size the screen draws them it cannot be assigned to one
North Building/FF/FF-5,NB-CAV5530,as NB-VAV5540-EV5541 - the dot is among the angled rooms between Vestibule N-1119 and Women N-1117
North Building/FF/FF-5,NB-VAV5515-EV5516,the dot falls in the same angled band and cannot be assigned to a single room
North Building/FF/FF-5,NB-VAV5000-EV5002,the dot sits between Store N-151B and Exp. Office N-151A with no wall drawn between them at that point
North Building/FF/FF-5,NB-VAV6885,the dot sits between Exp. Office N-355A and Conf Rm N-355B and could be either
North Building/FF/FF-5,NB-VAV6895,the dot falls in the angled band of small rooms on the east wing and cannot be assigned to one
North Building/FF/FF-8,NB-FEV6858,the dot lands just below the Service Corridor N-337 wall in a cell the screen does not name
North Building/FF/FF-8,NB-FEV6854,the dot lands in open lab floor east of Diabetes Lab Open Lab N-345B that carries no room name
North Building/FF/FF-7,NB-VAV6590-VEV6591,the dot lands in the open lab band below Corridor N-315 at a point the screen gives no room name; Gene Therapy Lab N-316C and Analytical Core N-316H are either side of it
North Building/FF/FF-10,NB-FCU7989,the dot lands in the unnamed lobby strip west of Stair 5 N-0ST05
North Building/FF/FF-10,NB-VAV7655,the dot sits on the wall between Office N-421 and Office N-422 and could be either
North Building/FF/FF-11,NB-VAV7820-VEV7822,"the dot lands in the gap between TC1 N-450L and TC2 N-450N, in floor the screen does not name"
North Building/FF/FF-11,NB-FEV7824,as NB-VAV7820-VEV7822 - the dot is in the unnamed gap between TC1 N-450L and TC2 N-450N
North Building/FF/FF-4,NB-FEV5813,the dot lands at the top of the open lab band below Corridor N-150 where the screen prints no room name
North Building/GF/GF-6,NB-FEV5273,the dot sits on the wall between ORG Chem N-0140K and MBB EVAP Room N-0140E and could be either
