screen,tag,room,confidence,note
North Building/FF/FF-1,NB-VAV4510,Conference Room N-1205,ok,
North Building/FF/FF-1,NB-VAV4525-EV4526,Conference Room N-1205,ok,
North Building/FF/FF-1,NB-VAV4520-EV4521,Conference Room N-1205,check,endpoint is inside the room but the walk ran out before a dot
North Building/FF/FF-1,NB-VAV4530-EV4531,Office N-1206,ok,
North Building/FF/FF-1,NB-VAV4535-EV4536,Office N-1207,ok,
North Building/FF/FF-1,NB-VAV4540-EV4541,Office N-1208,ok,
North Building/FF/FF-1,NB-VAV4545-EV4546,Office N-1209,ok,
North Building/FF/FF-1,NB-VAV4550-EV4551,Office N-1210,ok,
North Building/FF/FF-1,NB-VAV4560-EV4561,Office N-1212,ok,
North Building/FF/FF-1,NB-VAV4570-EV4571,Office N-1214,ok,
North Building/FF/FF-1,NB-VAV4740,Office N-1244,ok,
North Building/FF/FF-1,NB-VAV4735,Work Station N-1242,ok,
North Building/FF/FF-1,NB-VAV4630-VEV4631,GIS N-1216D,ok,
North Building/FF/FF-2,NB-VAV4050-VEV4051,CSP High Bay N-0215B,ok,"read on the first floor screen; the high bay is double height and the register carries this unit on the ground floor, which the reading agrees with"
North Building/FF/FF-2,NB-VAV4060-VEV4061,Machine Shop N-0215C,ok,"read on the first floor screen; double-height space, as NB-VAV4050-VEV4051"
North Building/FF/FF-3,NB-VAV5740-EV5741,Emer. Elec. N-1137,ok,
North Building/FF/FF-3,NB-VAV5730-EV5731,Store N-1135,ok,
North Building/FF/FF-3,NB-VAV5735-EV5736,Corridor N-1138,ok,
North Building/FF/FF-3,NB-VAV5715-EV5716,Conf. Rm N-1132,ok,
North Building/FF/FF-3,NB-VAV5695,Office N-1128,ok,
North Building/FF/FF-3,NB-VAV5680,Office N-1125,ok,
North Building/FF/FF-3,NB-VAV5670,Office N-1123,ok,
North Building/FF/FF-3,NB-VAV5660,Office N-1121,ok,
North Building/FF/FF-3,NB-FEV5624,Robotics N-1115J,ok,
North Building/FF/FF-3,NB-FEV5575,Cell Culture N-1115E,ok,
North Building/FF/FF-3,NB-FEV5574,PRe-PCR N-1115B,ok,
North Building/FF/FF-3,NB-FCU5983,IDF N-1140,check,the dot sits close to the JC N-1139 / IDF N-1140 wall
North Building/FF/FF-3,NB-VAV5610-VEV5611,Cold Room N-1115F,check,the dot is in open lab floor near the Cold Room N-1115F name; no wall separates it from Robotics N-1115J to its left
North Building/GF/GF-1,NB-VAV4110-EV4111,Conference Room N-0227,ok,
North Building/GF/GF-1,NB-VAV4115-EV4116,Office N-0228,ok,
North Building/GF/GF-1,NB-VAV4120-EV4121,Office N-0229,ok,
North Building/GF/GF-1,NB-VAV4125-EV4126,Office N-0230,ok,
North Building/GF/GF-1,NB-VAV4130-EV4131,Office N-0231,ok,
North Building/GF/GF-1,NB-VAV4135-EV4136,Office N-0232,ok,
North Building/GF/GF-1,NB-VAV4145-EV4146,Office N-0234,ok,
North Building/GF/GF-1,NB-VAV4165-EV4166,Office N-0236,ok,
North Building/GF/GF-1,NB-VAV4105-EV4106,Normal Elec. Room N-0226,ok,
North Building/GF/GF-1,NB-VAV4100-EV4101,Emergency Elec. Room N-0225,ok,
North Building/GF/GF-1,NB-VAV4225,Office N-0247,ok,
North Building/GF/GF-1,NB-VAV4245,Office N-0252,ok,
North Building/GF/GF-1,NB-VAV4250,Office N-0253,ok,
North Building/GF/GF-1,NB-VAV4080A-VEV4082A,Desal High Bay Lab N-0215E,ok,
North Building/GF/GF-1,NB-VAV4081B-VEV4083B,Desal High Bay Lab N-0215E,ok,
North Building/GF/GF-1,NB-VAV4070A-VEV4073A,Open High Bay Lab N-0215D,ok,
North Building/GF/GF-1,NB-VAV4090-VEV4091,Support Lab N-0215F,check,the dot sits near the boundary with Desal High Bay Lab N-0215E above it
North Building/GF/GF-1,NB-CAV4035,Service Corridor N-0207,check,the dot sits near the boundary with Corridor N-0207A to its left
North Building/GF/GF-1,NB-VAV4210,Desal Lab N-0240D,check,the dot is in open floor carrying the Desal Lab N-0240D name but no wall separates it from Corridor N-0246 below
North Building/FF/FF-5,NB-VAV5510-EV5511,Conference Room N-1101A,ok,
North Building/FF/FF-5,NB-VAV5525-EV5526,JC N-1118,check,the dot is inside the round JC N-1118 room but close to its edge
North Building/FF/FF-5,NB-VAV5845,Reception Area N-1151,check,the dot is in open floor carrying the Reception Area N-1151 name
North Building/FF/FF-8,NB-FCU6988,Service Corridor N-337,ok,
North Building/FF/FF-8,NB-FCU6989,Service Corridor N-337,ok,
North Building/FF/FF-8,NB-VEV6751,TC1 N-345A,check,the dot sits on the wall between Service Corridor N-337 and the lab below it; the leader arrives from the corridor side
North Building/FF/FF-8,NB-VAV6800-VEV6801,TC3 N-345D,check,as NB-VEV6751 - the dot is on the corridor wall at the top of the room
North Building/FF/FF-8,NB-VAV6820-VEV6821,Electro Physics N-345F,check,as NB-VEV6751 - the dot is on the corridor wall at the top of the room
North Building/FF/FF-7,NB-CEV6581,TC3 N-316F,check,the dot sits on the room's right-hand wall
North Building/FF/FF-7,NB-VAV6620-VEV6621,Mscope Room N-316K,check,"the dot sits on the wall between Mscope Room N-316J and N-316K, just inside K"
North Building/FF/FF-9,NB-VAV6910,Office N-359,ok,
North Building/FF/FF-9,NB-VAV6900,Office N-357,ok,
North Building/FF/FF-9,NB-VAV6915,Office N-360,ok,
North Building/FF/FF-9,NB-VAV6920,Office N-360B,ok,
North Building/FF/FF-9,NB-VAV6960,Work Station N-368,ok,
North Building/FF/FF-9,NB-VAV6935,Work Station N-363,check,the dot sits on the room's right-hand edge
North Building/FF/FF-9,NB-VAV6950,Office N-366,check,the dot sits on the room's right-hand wall
North Building/FF/FF-9,NB-VAV6967,Office N-370,check,the dot sits on the room's right-hand wall
North Building/FF/FF-9,NB-VAV6905,Open Plan N-358,check,the dot is just below the Open Plan N-358 area with Office N-357 to its right
North Building/FF/FF-10,NB-VAV7560-VEV7561,Imaging N-404F,ok,
North Building/FF/FF-10,NB-CAV7610-CEV7611,Imaging N-404F,ok,
North Building/FF/FF-10,NB-VAV7660,Workstation N-423,ok,
North Building/FF/FF-10,NB-VAV7680-EV7681,Conference N-429,ok,
North Building/FF/FF-10,NB-VAV7625,Office N-416,check,the dot sits on the room's lower wall
North Building/FF/FF-10,NB-VAV7640,Office N-419,check,the dot sits on the room's upper wall
North Building/FF/FF-10,NB-CAV7590-CEV7591,HV Room N-404J,check,the dot sits just inside the room's upper right corner
