screen,section
North Building/FF/FF-1,A2.1 Part1
North Building/FF/FF-2,A2.1 Part2
North Building/FF/FF-3,A2.2 Part1
North Building/FF/FF-4,A2.2 Part2
North Building/FF/FF-5,A2.3
North Building/FF/FF-6,B2.1 Part1
North Building/FF/FF-7,B2.1 Part2
North Building/FF/FF-8,B2.1 Part3
North Building/FF/FF-9,B2.1 Part4
North Building/FF/FF-10,B2.2 Part1
North Building/FF/FF-11,B2.2 Part2
North Building/GF/GF-1,A2.1 Part1
North Building/GF/GF-2,A2.1 Part2
North Building/GF/GF-3,A2.2 Part1
North Building/GF/GF-4,A2.2 Part1
North Building/GF/GF-5,A2.2 Part2
North Building/GF/GF-6,A2.2 Part3
North Building/GF/GF-7,A2.3
North Building/GF/GF-8,B2.1 Part1
North Building/GF/GF-9,B2.1 Part2
North Building/GF/GF-10,B2.2 Part1
North Building/GF/GF-11,B2.2 Part2
North Building/SF/SF-1,Part1
North Building/SF/SF-2,Part2
North Building/SF/SF-3,Part3
North Building/SF/SF-4,Part4
North Building/SF/SF-5,Walkway
South Building/FF/FF-1,A1.1
South Building/FF/FF-2,A1.2 Part1
South Building/FF/FF-3,A1.2 Part2
South Building/FF/FF-4,A1.3
South Building/FF/FF-5,B1.1 Part1
South Building/FF/FF-6,B1.1 Part2
South Building/FF/FF-7,B1.2
South Building/GF/GF-1,A1.1
South Building/GF/GF-2,A1.2 Part1
South Building/GF/GF-3,A1.2 Part2
South Building/GF/GF-4,A1.3
South Building/GF/GF-5,B1.1
South Building/GF/GF-6,B1.2 Part1
South Building/GF/GF-7,B1.2 Part2
South Building/SF/SF-1,Part1
South Building/SF/SF-2,Part2
South Building/WALKWAY/WW-1,Walkway
Utility Building/GF,Ground Floor
Utility Building/MF-1,Mezzanine Part1
Utility Building/MF-2,Mezzanine Part2
