building,tag,room before,room after,source
HQ,AHU12_0001,HQ RF,RF.001 ROOF,D->E
HQ,AHU12_0002,HQ RF,RF.001 ROOF,D->E
HQ,AHU12_0003,HQ RF,RF.001 ROOF,D->E
HQ,AHU12_0004,HQ RF,RF.001 ROOF,D->E
HQ,AHU12_0006,HQ RF,RF.001 ROOF,D->E
HQ,AHU12_0007,HQ RF,RF.001 ROOF,D->E
HQ,AHU12_0008,HQ RF,RF.001 ROOF,D->E
HQ,AHU12_0009,HQ RF,RF.001 ROOF,D->E
HQ,AHU12_0010,HQ RF,RF.001 ROOF,D->E
HQ,AHU2_0001,SPA PLANT ROOM 2.302,2.302 SPA PLANT ROOM,D
HQ,AHU5_0001,PLANT ROOM 5.301,5.301 PLANT ROOM,D
HQ,AHU5_0002,PLANT ROOM 5.301,5.301 PLANT ROOM,D
HQ,AHU9_0001,PLANT ROOM 9.111,9.111 PLANT ROOM,D
HQ,AHU9_0002,PLANT ROOM 9.111,9.111 PLANT ROOM,D
HQ,AHU9_0003,AHU ROOM 9.109,9.109 AHU ROOM,D
HQ,AHUB_0001,B.001,B1.001 AHU 4,D->E
HQ,AHUB_0002,B.001,B1.001 AHU 4,D->E
HQ,AHUB_0003,B.006,B1.006 AHU 1,D->E
HQ,AHUB_0004,B.006,B1.006 AHU 1,D->E
HQ,AHUB_0005,B.016,B1.016 AHU 2,D->E
HQ,AHUB_0006,B.016,B1.016 AHU 2,D->E
HQ,AHUB_0007,B.022,B1.022 AHU 3,D->E
HQ,AHUB_0008,B.001,B1.001 AHU 4,D->E
HQ,AHUB_0009,B.019,B1.019 AHU,D->E
HQ,AHUB_0010,B.019,B1.019 AHU,D->E
HQ,AHUB_0011,B.019,B1.019 AHU,D->E
HQ,FCU0001,IDF ROOM B.512,B1.512 IDF ROOM,D
HQ,FCU0002,SECURITY CONTROL B.003,B1.003 CONTROL ROOM,D->E
HQ,FCU0003,DOCK MASTER OFFICE B.107,B1.107 DOCK MASTER OFFICE,D
HQ,FCU0004,HH SECURITY B.113,B1.116 SHEIKHA LOBBY,J
HQ,FCU0005,MALE TOILET B.401,B1.003 CONTROL ROOM,H
HQ,FCU0006,ROOM B.122,B1.122 SUPPORT SPACE FOOD STORAGE,D->E
HQ,FCU0007,ROOM B.123,B1.123 SUPPORT SPACE FOOD STORAGE,D->E
