building,tag,room in V1.2,room now,same room?,V1.2 says,the register says,the rule says
HQ,AHU12_0002,HQ RF,RF.001 ROOF,no - different room,Not Included,Included,Not Included
HQ,AHU12_0003,HQ RF,RF.001 ROOF,no - different room,Not Included,Included,Not Included
HQ,AHUB_0001,B.001,B1.001 AHU 4,yes,Not Included,Included,Included
HQ,AHUB_0002,B.001,B1.001 AHU 4,yes,Not Included,Included,Included
HQ,AHUB_0003,B.006,B1.006 AHU 1,yes,Not Included,Included,Included
HQ,AHUB_0004,B.006,B1.006 AHU 1,yes,Not Included,Included,Included
HQ,AHUB_0005,B.016,B1.016 AHU 2,yes,Not Included,Included,Included
HQ,AHUB_0006,B.016,B1.016 AHU 2,yes,Not Included,Included,Included
HQ,AHUB_0007,B.022,B1.022 AHU 3,yes,Not Included,Included,Included
HQ,AHUB_0009,B.019,B1.019 AHU,yes,Not Included,Included,Included
HQ,AHUB_0010,B.019,B1.019 AHU,yes,Not Included,Included,Included
HQ,AHUB_0011,B.019,B1.019 AHU,yes,Not Included,Included,Included
HQ,FCU0003,DOCK MASTER OFFICE B.107,B1.107 DOCK MASTER OFFICE,yes,Not Included,Included,Included
HQ,FCU0006,ROOM B.122,B1.122 SUPPORT SPACE FOOD STORAGE,yes,Not Included,Included,Included
HQ,FCU0007,ROOM B.123,B1.123 SUPPORT SPACE FOOD STORAGE,yes,Not Included,Included,Included
HQ,FCU0008,ROOM B.014,B1.015 SUPPORT SPACE LOADING,no - different room,Not Included,Included,Included
HQ,FCU0009,ROOM B.014,B1.014 SUPPORT SPACE DRY WASTE STORAGE,yes,Not Included,Included,Included
HQ,FCU0010,ROOM B.124,B1.124 WASTE BIN WASH UP,yes,Not Included,Included,Included
HQ,FCU0015,NURSERY CONSULT. G.031,G.031 PR AND MARKET STAFF,yes,Included,Not Included,Included
HQ,FCU0067,NORTH EAST ZONE,5.602 BRIDGE,no - different room,Not Included,Included,Not Included
HQ,FCU0068,NORTH EAST ZONE,5.602 BRIDGE,no - different room,Not Included,Included,Not Included
