building,tag,equipment type,room,proposed,why
HQ,FCU0097,FCU,B1.512 IDF ROOM,Not Included,technical
HQ,VAV0558,VAV,,,no room name - nothing to decide it on
QNL,VAV0001,VAV,,,no room name - nothing to decide it on
QNL,VAV_B_S13_005,VAV,,,no room name - nothing to decide it on
QNL,DX_B01,DX Unit,B.035 CORRIDOR 4,Not Included,"plant equipment, not a room"
QNL,DX_B02,DX Unit,B.035 CORRIDOR 4,Not Included,"plant equipment, not a room"
QNL,DX_B03,DX Unit,B.095 EMERGENCY LIGHTING BATTERY ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B04,DX Unit,B.082 TRANSFORMER ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B05,DX Unit,B.083 HV ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B06,DX Unit,B.083 HV ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B07,DX Unit,B.095 EMERGENCY LIGHTING BATTERY ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B08,DX Unit,B.095 EMERGENCY LIGHTING BATTERY ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B09,DX Unit,B.084 UPS BATTERY ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B10,DX Unit,B.103 PROCESSING ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B11,DX Unit,B.107 SECURITY EQUIPMENT ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B12,DX Unit,B.107 SECURITY EQUIPMENT ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B13,DX Unit,B.093 TRANSH CHAMBER,Not Included,"plant equipment, not a room"
QNL,DX_B14,DX Unit,B.095 EMERGENCY LIGHTING BATTERY ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B15,DX Unit,B.093 TRANSH CHAMBER,Not Included,"plant equipment, not a room"
QNL,DX_B16,DX Unit,B.095 EMERGENCY LIGHTING BATTERY ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B17,DX Unit,B.045A REFRIGERATE STORE,Not Included,"plant equipment, not a room"
QNL,DX_B18,DX Unit,B.045A REFRIGERATE STORE,Not Included,"plant equipment, not a room"
QNL,DX_B19,DX Unit,B.045A REFRIGERATE STORE,Not Included,"plant equipment, not a room"
QNL,DX_B20,DX Unit,B.092 STORAGE,Not Included,"plant equipment, not a room"
QNL,DX_B21,DX Unit,P.004 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,DX_B22,DX Unit,B.106 REST ROOM SECURITY,Not Included,"plant equipment, not a room"
QNL,DX_B23,DX Unit,B.107 SECURITY EQUIPMENT ROOM,Not Included,"plant equipment, not a room"
QNL,DX_B24,DX Unit,P.004 PLANT ZONE,Not Included,"plant equipment, not a room"
QNL,HEX01,HEX,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,HEX02,HEX,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,HEX03,HEX,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,HEX04,HEX,B.220 PLANT ROOM 04,Not Included,"plant equipment, not a room"
QNL,HEX05,HEX,B.211 PH PLANT ROOM,Not Included,"plant equipment, not a room"
QNL,EF_201,EF,L-3 L 3,Not Included,"plant equipment, not a room"
QNL,EF_B05,EF,B.085 FUMIGATION ROOM,Not Included,"plant equipment, not a room"
QNL,EF_B06,EF,B.055 DIGITIZATION CENTER,Not Included,"plant equipment, not a room"
QNL,EF_B07,EF,B.109 LOADING AREA,Not Included,"plant equipment, not a room"
QNL,EF_B08,EF,B.109 LOADING AREA,Not Included,"plant equipment, not a room"
QNL,EF_B09,EF,B.080 GENERATOR,Not Included,"plant equipment, not a room"
QNL,EF_B10,EF,B.093 TRANSH CHAMBER,Not Included,"plant equipment, not a room"
QNL,EF_B11,EF,B.091 FUEL ROOM,Not Included,"plant equipment, not a room"
QNL,EF_B12,EF,B.214 IDF ROOM,Not Included,"plant equipment, not a room"
QNL,EF_B13,EF,B.072 SPRIMKLERS PUMPS AND ZONES VALVES,Not Included,"plant equipment, not a room"
QNL,EF_B14,EF,B.064 CORRIDOR 2,Not Included,"plant equipment, not a room"
QNL,EF_B15,EF,B.109 LOADING AREA,Not Included,"plant equipment, not a room"
QNL,EF_B16,EF,B.109 LOADING AREA,Not Included,"plant equipment, not a room"
QNL,EF_BBV01,EF,B.070 PLANT ROOM 02,Not Included,"plant equipment, not a room"
QNL,EF_BBV02,EF,B.070 PLANT ROOM 02,Not Included,"plant equipment, not a room"
QNL,EF_RP01,EF,P.002 PLANT ZONE,Not Included,"plant equipment, not a room"
