building,tag in the register,tag in the old file,what happened
QNL,DX_B01,,no row in the old file
QNL,DX_B02,,no row in the old file
QNL,DX_B03,,no row in the old file
QNL,DX_B04,,no row in the old file
QNL,DX_B05,,no row in the old file
QNL,DX_B06,,no row in the old file
QNL,DX_B07,,no row in the old file
QNL,DX_B08,,no row in the old file
QNL,DX_B09,,no row in the old file
QNL,DX_B10,,no row in the old file
QNL,DX_B11,,no row in the old file
QNL,DX_B12,,no row in the old file
QNL,DX_B13,,no row in the old file
QNL,DX_B14,,no row in the old file
QNL,DX_B15,,no row in the old file
QNL,DX_B16,,no row in the old file
QNL,DX_B17,,no row in the old file
QNL,DX_B18,,no row in the old file
QNL,DX_B19,,no row in the old file
QNL,DX_B20,,no row in the old file
QNL,DX_B21,,no row in the old file
QNL,DX_B22,,no row in the old file
QNL,DX_B23,,no row in the old file
QNL,DX_B24,,no row in the old file
QNL,HEX01,,no row in the old file
QNL,HEX02,,no row in the old file
QNL,HEX03,,no row in the old file
QNL,HEX04,,no row in the old file
QNL,HEX05,,no row in the old file
QNL,EF_201,,no row in the old file
QNL,EF_B05,,no row in the old file
QNL,EF_B06,,no row in the old file
QNL,EF_B07,,no row in the old file
QNL,EF_B08,,no row in the old file
QNL,EF_B09,,no row in the old file
QNL,EF_B10,,no row in the old file
QNL,EF_B11,,no row in the old file
QNL,EF_B12,,no row in the old file
QNL,EF_B13,,no row in the old file
QNL,EF_B14,,no row in the old file
QNL,EF_B15,,no row in the old file
QNL,EF_B16,,no row in the old file
QNL,EF_BBV01,,no row in the old file
QNL,EF_BBV02,,no row in the old file
QNL,EF_RP01,,no row in the old file
QNL,EF_RP02,,no row in the old file
QNL,EF_RP03,,no row in the old file
QNL,KEF_101,,no row in the old file
QNL,KEF_B019,,no row in the old file
QNL,KEF_B020,,no row in the old file
QNL,KEF_B04,,no row in the old file
QNL,SEF_RP04,,no row in the old file
QNL,SEF_RP05,,no row in the old file
QNL,SEF_RP06,,no row in the old file
QNL,SEF_RP07,,no row in the old file
QNL,SEF_RP08,,no row in the old file
QNL,SEF_RP09,,no row in the old file
QNL,SEF_RP10,,no row in the old file
QNL,SEF_RP11,,no row in the old file
QNL,SEF_RP12,,no row in the old file
QNL,SEF_ZoneA,,no row in the old file
QNL,SEF_ZoneB,,no row in the old file
QNL,SEF_ZoneC,,no row in the old file
QNL,TEF_101C,,no row in the old file
QNL,TEF_102C,,no row in the old file
QNL,TEF_B01A,,no row in the old file
QNL,TEF_B01B,,no row in the old file
QNL,TEF_B02A,,no row in the old file
QNL,TEF_B02B,,no row in the old file
QNL,TEF_B03A,,no row in the old file
QNL,TEF_B03B,,no row in the old file
QNL,CCU_B01,,no row in the old file
QNL,CCU_B02,,no row in the old file
QNL,CCU_B03,,no row in the old file
QNL,CCU_B04,,no row in the old file
QNL,CCU_B05,,no row in the old file
QNL,CCU_B06,,no row in the old file
QNL,CCU_B07,,no row in the old file
QNL,CCU_B08,,no row in the old file
QNL,CCU_B09,,no row in the old file
QNL,CCU_B10,,no row in the old file
QNL,CCU_B11,,no row in the old file
QNL,CCU_8081,,no row in the old file
QNL,CCU_8082,,no row in the old file
QNL,CCU_8083,,no row in the old file
QNL,CCU_8084,,no row in the old file
QNL,CCU_8085,,no row in the old file
QNL,CCU_8086,,no row in the old file
QNL,CCU_MDFRm,,no row in the old file
QNL,CCU_Qtel,,no row in the old file
QNL,CCU_Server_Rm,,no row in the old file
QNL,CCU_AVServer_Rm,,no row in the old file
QNL,CCU_HeritageVault,,no row in the old file
QNL,CHW_P01,,no row in the old file
QNL,CHW_P02,,no row in the old file
QNL,CHW_P03,,no row in the old file
QNL,CHW_P04,,no row in the old file
QNL,CHWPU_P01,,no row in the old file
QNL,CHWPU_P02,,no row in the old file
QNL,ELEC_Gen,,no row in the old file
RDC,,RDC_SB_L0_AT-1002,old row with no unit to land on
RDC,,RDC_SB_L0_AT-1003,old row with no unit to land on
RDC,,RDC_SB_L0_EV-1002,old row with no unit to land on
RDC,,RDC_SB_L0_AT-1004,old row with no unit to land on
RDC,,RDC_SB_L0_EV-1003,old row with no unit to land on
RDC,,RDC_SB_L0_AT-1008,old row with no unit to land on
RDC,,RDC_NB_GF_AT-4005,old row with no unit to land on
RDC,,RDC_NB_GF_AT-4100,old row with no unit to land on
RDC,,RDC_NB_GF_AT-4105,old row with no unit to land on
RDC,,RDC_NB_GF_AT-4110,old row with no unit to land on
