action,tag,type,room,detail
removed - not in historian,RDC_NB_GF_EV-5035,EV,Confr Room N-0112,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0115,AT,Office S-0233A,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0116,AT,Office S-0232A,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0117,AT,Open Plan S-0228,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0118,AT,Open Plan S-0228B,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0120,AT,Open Plan S-0228A,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0122,AT,Office S-0211A,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0123,AT,Office S-0211B,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0124,AT,Technical Open Plan S-0211,neither - nothing in the historian knows this number
removed - not in historian,RDC_NB_GF_VEV-6053,VEV,Open Lab 1 N-0310C,neither - nothing in the historian knows this number
removed - not in historian,RDC_NB_GF_VEV-6061,VEV,Lab Support 3 N-0310D,neither - nothing in the historian knows this number
removed - not in historian,RDC_NB_GF_VEV-6071,VEV,Lab Support 4 N-0310E,neither - nothing in the historian knows this number
removed - not in historian,RDC_NB_GF_VEV-6081,VEV,Lab Support 5 N-0310F,neither - nothing in the historian knows this number
removed - not in historian,RDC_NB_GF_VEV-6091,VEV,Lab Support 6 N-0310G,neither - nothing in the historian knows this number
removed - not in historian,RDC_NB_GF_VAV-6080,VAV,Lab Support 5 N-0310F,neither - nothing in the historian knows this number
removed - not in historian,RDC_NB_GF_FCU6997,FCU,Lab Sup 2 N-0310B,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0101,AT,Office S-0244A,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0102,AT,Office S-0244B,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0103,AT,Office S-0244C,neither - nothing in the historian knows this number
removed - not in historian,RDC_SB_L0_AT-0104,AT,Office S-0244D,neither - nothing in the historian knows this number
