tag,room,section,how it was decided
RDC_NB_2F_AHU8511,NORTH BUILDING PENT HOUSE N-2101,Part2,tag
RDC_NB_2F_AHU8512,NORTH BUILDING PENT HOUSE N-2101,Part2,tag
RDC_NB_2F_AHU8513,NORTH BUILDING PENT HOUSE N-2101,Part2,tag
RDC_NB_2F_AHU8514,NORTH BUILDING PENT HOUSE N-2101,Part2,tag
RDC_NB_2F_AHU8515,NORTH BUILDING PENT HOUSE N-2101,Part2,tag
RDC_NB_2F_AHU8516,NORTH BUILDING PENT HOUSE N-2101,Part2,tag
RDC_NB_2F_AHU8517,NORTH BUILDING PENT HOUSE N-2101,Part4,tag
RDC_NB_2F_AHU8518,NORTH BUILDING PENT HOUSE N-2101,Part4,tag
RDC_NB_2F_AHU8519,NORTH BUILDING PENT HOUSE N-2101,Part4,tag
RDC_NB_2F_AHU8520,NORTH BUILDING PENT HOUSE N-2101,Part4,tag
RDC_NB_2F_AHU8521,NORTH BUILDING PENT HOUSE N-2101,Part4,tag
RDC_SB_2F_AHU8011,SOUTH BUILDING PENTHOUSE S-2101,Part1,tag
RDC_SB_2F_AHU8012,SOUTH BUILDING PENTHOUSE S-2101,Part2,tag
RDC_SB_2F_AHU8021,SOUTH BUILDING PENTHOUSE S-2101,Part1,tag
RDC_SB_2F_AHU8022,SOUTH BUILDING PENTHOUSE S-2101,Part1,tag
RDC_SB_2F_AHU8023,SOUTH BUILDING PENTHOUSE S-2101,Part1,tag
RDC_SB_2F_AHU8024,SOUTH BUILDING PENTHOUSE S-2101,Part2,tag
RDC_SB_2F_AHU8025,SOUTH BUILDING PENTHOUSE S-2101,Part2,tag
RDC_SB_2F_AHU8026,SOUTH BUILDING PENTHOUSE S-2101,Part2,tag
RDC_SB_GF_AHU8031,Mech S-0136,,"on 2 sections: B1.1, B1.2 Part2"
RDC_SB_GF_AHU8032,Mech S-0136,,"on 2 sections: B1.1, B1.2 Part2"
RDC_SB_GF_AHU8033,Mech S-0136,,"on 2 sections: B1.1, B1.2 Part2"
RDC_SB_GF_AHU8034,Mech S-0136,,"on 2 sections: B1.1, B1.2 Part2"
RDC_SB_GF_AHU8035,MECH S-0136,,"on 2 sections: B1.1, B1.2 Part2"
RDC_SB_GF_AHU8036,COMPUTER RESEARCH LAB S-1112,B1.2 Part1,tag
RDC_SB_GF_AHU8037,Cyber Server S-0138,B1.2 Part1,tag
RDC_SB_GF_AHU8041,UPS ROOM S-0145,B1.2 Part1,tag
RDC_SB_GF_AHU8042,Corridor S-0143,B1.2 Part1,tag
RDC_UB_AHU8601,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part2,tag
RDC_UB_AHU8602,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part2,tag
RDC_UB_AHU8603,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part1,tag
RDC_UB_AHU8604,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part1,tag
RDC_UB_AHU8605,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part1,tag
RDC_UB_AHU8606,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part1,tag
RDC_UB_AHU8607,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part1,tag
RDC_UB_AHU8608,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part1,tag
RDC_UB_AHU8609,UTILITY BUILDING MECHANICAL ROOM U-1101,Mezzanine Part2,tag
RDC_NB_GF_VAV4001,Store N-0201,A2.2 Part1,tag
RDC_NB_GF_VAV4005_EV4006,Electrical N-0202,,"on 2 sections: A2.1 Part2, A2.2 Part1"
RDC_NB_GF_VAV4040,Air Quality High Bay N-0215A,,"on 2 sections: A2.1 Part2, A2.2 Part1"
RDC_NB_GF_VAV4050_VEV4051,CSP High Bay N-0215B,,"on 2 sections: A2.1 Part2, A2.2 Part1"
RDC_NB_GF_VAV4060_VEV4061,Machine Shop N-0215C,,"on 2 sections: A2.1 Part2, A2.2 Part1"
RDC_NB_GF_VAV4070A_VEV4073A,Open High Bay Lab N-0215D,A2.1 Part1,tag
RDC_NB_GF_VAV4070B_VEV4073B,Open High Bay Lab N-0215D,A2.1 Part1,tag
RDC_NB_GF_VAV4071A_VEV4074A,Open High Bay Lab N-0215D,A2.1,tag - on 2 parts of the section
RDC_NB_GF_VAV4071B_VEV4074B,Open High Bay Lab N-0215D,A2.1,tag - on 2 parts of the section
RDC_NB_GF_VAV4072A_VEV4075A,Open High Bay Lab N-0215D,A2.1 Part2,tag
RDC_NB_GF_VAV4072B_VEV4075B,Open High Bay Lab N-0215D,A2.1 Part2,tag
RDC_NB_GF_VAV4080A_VEV4082A,Desal High Bay Lab N-0215E,A2.1 Part1,tag
RDC_NB_GF_VAV4080B_VEV4082B,Desal High Bay Lab N-0215E,A2.1 Part1,tag
RDC_NB_GF_VAV4081A_VEV4083A,Desal High Bay Lab N-0215E,A2.1 Part1,tag
RDC_NB_GF_VAV4081B_VEV4083B,Desal High Bay Lab N-0215E,A2.1 Part1,tag
