row,tag,type,room in column D,verdict,room proposed,from which row,assembly
1480,RDC_NB_GF_VAV4001,VAV,Store N-0201,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4001
1481,RDC_NB_GF_VAV4005_EV4006,EV,Electrical N-0202,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4005
1482,RDC_NB_GF_VAV4040,VAV,Air Quality High Bay N-0215A,no reading anywhere in the assembly,,,
1483,RDC_NB_GF_VAV4050_VEV4051,VEV,CSP High Bay N-0215B,has its own reading,CSP High Bay N-0215B,RDC_NB_GF_VAV4050_VEV4051,
1484,RDC_NB_GF_VAV4060_VEV4061,VEV,Machine Shop N-0215C,has its own reading,Machine Shop N-0215C,RDC_NB_GF_VAV4060_VEV4061,
1485,RDC_NB_GF_VAV4070A_VEV4073A,VAV,Open High Bay Lab N-0215D,has its own reading,Open High Bay Lab N-0215D,RDC_NB_GF_VAV4070A_VEV4073A,
1486,RDC_NB_GF_VAV4070B_VEV4073B,VAV,Open High Bay Lab N-0215D,no reading anywhere in the assembly,,,
1487,RDC_NB_GF_VAV4071A_VEV4074A,VAV,Open High Bay Lab N-0215D,no reading anywhere in the assembly,,,
1488,RDC_NB_GF_VAV4071B_VEV4074B,VAV,Open High Bay Lab N-0215D,no reading anywhere in the assembly,,,
1489,RDC_NB_GF_VAV4072A_VEV4075A,VAV,Open High Bay Lab N-0215D,no reading anywhere in the assembly,,,
1490,RDC_NB_GF_VAV4072B_VEV4075B,VAV,Open High Bay Lab N-0215D,no reading anywhere in the assembly,,,
1491,RDC_NB_GF_VAV4080A_VEV4082A,VAV,Desal High Bay Lab N-0215E,has its own reading,Desal High Bay Lab N-0215E,RDC_NB_GF_VAV4080A_VEV4082A,
1492,RDC_NB_GF_VAV4080B_VEV4082B,VAV,Desal High Bay Lab N-0215E,no reading anywhere in the assembly,,,
1493,RDC_NB_GF_VAV4081A_VEV4083A,VAV,Desal High Bay Lab N-0215E,no reading anywhere in the assembly,,,
1494,RDC_NB_GF_VAV4081B_VEV4083B,VAV,Desal High Bay Lab N-0215E,has its own reading,Desal High Bay Lab N-0215E,RDC_NB_GF_VAV4081B_VEV4083B,
1495,RDC_NB_GF_VAV4090_VEV4091,VEV,Support Lab N-0215F,no reading anywhere in the assembly,,,
1496,RDC_NB_GF_VAV4100_EV4101,EV,Emergency Elec. Room N-0225,has its own reading,Emergency Elec. Room N-0225,RDC_NB_GF_VAV4100_EV4101,RDC_NB_GF_AT-4100
1497,RDC_NB_GF_VAV4105_EV4106,EV,Normal Electrical Room N-0225,has its own reading,Normal Elec. Room N-0226,RDC_NB_GF_VAV4105_EV4106,RDC_NB_GF_AT-4105
1498,RDC_NB_GF_VAV4110_EV4111,EV,Conference Room N-0227,has its own reading,Conference Room N-0227,RDC_NB_GF_VAV4110_EV4111,RDC_NB_GF_AT-4110
1499,RDC_NB_GF_VAV4115_EV4116,EV,Office N-0228,has its own reading,Office N-0228,RDC_NB_GF_VAV4115_EV4116,RDC_NB_GF_AT-4115
1500,RDC_NB_GF_VAV4120_EV4121,EV,Office N-0229,has its own reading,Office N-0229,RDC_NB_GF_VAV4120_EV4121,RDC_NB_GF_AT-4120
1501,RDC_NB_GF_VAV4125_EV4126,EV,Office N-0230,has its own reading,Office N-0230,RDC_NB_GF_VAV4125_EV4126,RDC_NB_GF_AT-4125
1502,RDC_NB_GF_VAV4130_EV4131,EV,Office N-0231,has its own reading,Office N-0231,RDC_NB_GF_VAV4130_EV4131,RDC_NB_GF_AT-4130
1503,RDC_NB_GF_VAV4135_EV4136,EV,Office N-0232,has its own reading,Office N-0232,RDC_NB_GF_VAV4135_EV4136,RDC_NB_GF_AT-4135
1504,RDC_NB_GF_VAV4140_EV4141,EV,Conference Room N-0233,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4140
1505,RDC_NB_GF_VAV4145_EV4146,EV,Office N-0234,has its own reading,Office N-0234,RDC_NB_GF_VAV4145_EV4146,RDC_NB_GF_AT-4145
1506,RDC_NB_GF_VAV4165_EV4166,EV,Office N-0236,has its own reading,Office N-0236,RDC_NB_GF_VAV4165_EV4166,RDC_NB_GF_AT-4165
1507,RDC_NB_GF_VAV4180_VEV4181,VEV,Test Room N-0240A,no reading anywhere in the assembly,,,
1508,RDC_NB_GF_VAV4190_VEV4192,VEV,CSP Lab N-0240B,no reading anywhere in the assembly,,,
1509,RDC_NB_GF_VAV4191,VAV,CSP Lab N-0240B,no reading anywhere in the assembly,,,
1510,RDC_NB_GF_VAV4200_VEV4201,VEV,Test Room 1 N-0240C,no reading anywhere in the assembly,,,
1511,RDC_NB_GF_VAV4210,VAV,Desalination Lab N-0240D,no reading anywhere in the assembly,,,
1512,RDC_NB_GF_VAV4211,VAV,Desalination Lab N-0240D,no reading anywhere in the assembly,,,
1513,RDC_NB_GF_VAV4212,VAV,Desalination Lab N-0240D,no reading anywhere in the assembly,,,
1514,RDC_NB_GF_VAV4225,VAV,Office N-0247,has its own reading,Office N-0247,RDC_NB_GF_VAV4225,RDC_NB_GF_AT-4225
1515,RDC_NB_GF_VAV4230,VAV,Office N-0248,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4230
1516,RDC_NB_GF_VAV4235,VAV,Office 05 -8WS- N-0250,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4235
1517,RDC_NB_GF_VAV4240,VAV,Office 04 N-0251,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4240
1518,RDC_NB_GF_VAV4245,VAV,Office N-0252,has its own reading,Office N-0252,RDC_NB_GF_VAV4245,RDC_NB_GF_AT-4245
1519,RDC_NB_GF_VAV4250,VAV,Office N-0253,has its own reading,Office N-0253,RDC_NB_GF_VAV4250,RDC_NB_GF_AT-4250
1520,RDC_NB_GF_VAV4255,VAV,Office N-0254,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4255
1521,RDC_NB_GF_VAV4260,VAV,Office 05 -8WS- N-0255,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4260
1522,RDC_NB_GF_VAV4265,VAV,Office N-0256,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4265
1523,RDC_NB_GF_VAV4270,VAV,Office N-0257,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4270
1524,RDC_NB_GF_VAV4275,VAV,Office N-0258,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4275
1525,RDC_NB_GF_VAV4280,VAV,Office N-0259,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4280
1526,RDC_NB_GF_VAV4285,VAV,Workstation N-0260,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4285
1527,RDC_NB_GF_VAV4290,VAV,Office 04 N-0261,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4290
1528,RDC_NB_GF_VAV4295,VAV,Office N-0262,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4295
1529,RDC_NB_GF_VAV4300,VAV,Office N-0263,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4300
1530,RDC_NB_GF_VAV4305,VAV,Office N-0264,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4305
1531,RDC_NB_GF_VAV4310,VAV,Workstation N-0265,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4310
1532,RDC_NB_GF_VAV4312,VAV,Breakout N-0265B,no reading anywhere in the assembly,,,RDC_NB_GF_AT-4312
1533,RDC_NB_GF_VAV5000_EV5002,EV,Lobby North N-0101,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5000
1534,RDC_NB_GF_VAV5001_EV5003,EV,Lobby North N-0101,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5001
1535,RDC_NB_GF_VAV5010_EV5011,EV,Conf N-0106,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5010
1536,RDC_NB_GF_VAV5015_EV5016,EV,Conference N-0107,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5015
1537,RDC_NB_GF_VAV5025,VAV,Corridor N-0110,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5025
1538,RDC_NB_GF_VAV5030_EV5031,EV,Confr Room N-0112,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5030
1539,RDC_NB_GF_VAV5040_EV5041,EV,Normal Elec. N-0113,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5040
1540,RDC_NB_GF_VAV5045_EV5046,EV,Emergency Elec. N-0114,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5045
1541,RDC_NB_GF_VAV5050,VAV,Analytical Core Lab 1 N-0114A,no reading anywhere in the assembly,,,
1542,RDC_NB_GF_VAV5051,VAV,Analytical Core Lab 1 N-0114A,no reading anywhere in the assembly,,,
1543,RDC_NB_GF_VAV5054,VAV,Clean Lab N-0114B,no reading anywhere in the assembly,,,
1544,RDC_NB_GF_VAV5060_CEV5061,CEV,Clean Lab N-0114B,no reading anywhere in the assembly,,,
1545,RDC_NB_GF_VAV5070,VAV,Dirty Lab N-0114C,no reading anywhere in the assembly,,,
1546,RDC_NB_GF_VAV5080_VEV5081,VEV,Bio Analyt N-0114D,no reading anywhere in the assembly,,,
1547,RDC_NB_GF_VAV5090,VAV,Air Quality N-0114F,no reading anywhere in the assembly,,,
1548,RDC_NB_GF_VAV5091,VAV,Air Quality N-0114F,no reading anywhere in the assembly,,,
1549,RDC_NB_GF_VAV5100_EV5101,EV,Office N-0115,has its own reading,Office N-0115,RDC_NB_GF_VAV5100_EV5101,RDC_NB_GF_AT-5100
1550,RDC_NB_GF_VAV5105,VAV,Office N-0116,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5105
1551,RDC_NB_GF_VAV5110,VAV,Office N-0117,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5110
1552,RDC_NB_GF_VAV5115,VAV,Office N-0118,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5115
1553,RDC_NB_GF_VAV5120,VAV,Office N-0119,has its own reading,Office N-0119,RDC_NB_GF_VAV5120,RDC_NB_GF_AT-5120
1554,RDC_NB_GF_VAV5125,VAV,Office N-0120,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5125
1555,RDC_NB_GF_VAV5130,VAV,Office N-0121,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5130
1556,RDC_NB_GF_VAV5135,VAV,Office N-0122,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5135
1557,RDC_NB_GF_VAV5140,VAV,Office N-0123,has its own reading,Office N-0123,RDC_NB_GF_VAV5140,RDC_NB_GF_AT-5140
1558,RDC_NB_GF_VAV5145,VAV,Office N-0124,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5145
1559,RDC_NB_GF_VAV5150,VAV,Office N-0125,has its own reading,Office N-0125,RDC_NB_GF_VAV5150,RDC_NB_GF_AT-5150
1560,RDC_NB_GF_VAV5152,VAV,Office N-0126,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5152
1561,RDC_NB_GF_VAV5155,VAV,Office N-0127,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5155
1562,RDC_NB_GF_VAV5156,VAV,Office 04 N-0129,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5156
1563,RDC_NB_GF_VAV5165_EV5166,EV,Corridor N-0134,has its own reading,Serv Core N-0136,RDC_NB_GF_VAV5165_EV5166,RDC_NB_GF_AT-5165
1564,RDC_NB_GF_VAV5180,VAV,Analytical Core Lab 2 N-0140A,no reading anywhere in the assembly,,,
1565,RDC_NB_GF_VAV5181,VAV,Analytical Core Lab 2 N-0140A,no reading anywhere in the assembly,,,
1566,RDC_NB_GF_VAV5190,VAV,Furnace Room N-0140B,no reading anywhere in the assembly,,,
1567,RDC_NB_GF_VAV5200,VAV,Prep Lab N-0140C,no reading anywhere in the assembly,,,
1568,RDC_NB_GF_VAV5210,VAV,Sputter Room N-0140D,no reading anywhere in the assembly,,,
1569,RDC_NB_GF_VAV5220,VAV,MBE/Evap Room N-0140E,no reading anywhere in the assembly,,,
1570,RDC_NB_GF_VAV5230,VAV,ALD Room N-0140F,no reading anywhere in the assembly,,,
1571,RDC_NB_GF_VAV5250_VEV5251,VEV,Support Room N-0140H,no reading anywhere in the assembly,,,
1572,RDC_NB_GF_VAV5260_VEV5261,VEV,PLD Room N-0140J,no reading anywhere in the assembly,,,
1573,RDC_NB_GF_VAV5270A,VAV,Organic Chemistry Lab N-0140K,no reading anywhere in the assembly,,,
1574,RDC_NB_GF_VAV5270B,VAV,Org Chem N-0140K,no reading anywhere in the assembly,,,
1575,RDC_NB_GF_VAV5295_EV5296,EV,Conference Room N-0149,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5295
1576,RDC_NB_GF_VAV5300,VAV,Corridor N-0150,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5300
1577,RDC_NB_GF_VAV5305,VAV,Office N-0151,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5305
1578,RDC_NB_GF_VAV5310,VAV,Office N-0152,has its own reading,Office N-0152,RDC_NB_GF_VAV5310,RDC_NB_GF_AT-5310
1579,RDC_NB_GF_VAV5315,VAV,Open Office N-0153,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5315
1580,RDC_NB_GF_VAV5325,VAV,Office N-0155,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5325
1581,RDC_NB_GF_VAV5330,VAV,Office N-0156,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5330
1582,RDC_NB_GF_VAV5335,VAV,Office N-0157,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5335
1583,RDC_NB_GF_VAV5340,VAV,Office N-0158,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5340
1584,RDC_NB_GF_VAV5345,VAV,Office N-0159,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5345
1585,RDC_NB_GF_VAV5355,VAV,Office N-0161,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5355
1586,RDC_NB_GF_VAV5360,VAV,Office N-0162,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5360
1587,RDC_NB_GF_VAV5365,VAV,Office N-0163,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5365
1588,RDC_NB_GF_VAV5370,VAV,Office N-0164,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5370
1589,RDC_NB_GF_VAV5380,VAV,Office N-0166,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5380
1590,RDC_NB_GF_VAV5385,VAV,Office N-0167A,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5385
1591,RDC_NB_GF_VAV5390,VAV,Office 04 N-0168,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5390
1592,RDC_NB_GF_VAV5395,VAV,Exp. Office N-0169,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5395
1593,RDC_NB_GF_VAV5400,VAV,Reception Area N-0170,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5400
1594,RDC_NB_GF_VAV5405,VAV,Exp. Office N-0172,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5405
1595,RDC_NB_GF_VAV5410_EV5411,EV,Conf Room N-0173,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5410
1596,RDC_NB_GF_VAV5415,VAV,Office 04 N-0174,no reading anywhere in the assembly,,,RDC_NB_GF_AT-5415
1597,RDC_NB_GF_VAV6000_EV6001,EV,Conf Room N-0301,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6000
1598,RDC_NB_GF_VAV6010_EV6011,EV,Conf N-0304,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6010
1599,RDC_NB_GF_VAV6025_EV6026,EV,Normal Elec. N-0310,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6025
1600,RDC_NB_GF_VAV6130_EV6131,EV,Store N-0315,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6130
1601,RDC_NB_GF_VAV6135,VAV,Store N-0316,has its own reading,Store N-0316,RDC_NB_GF_VAV6135,RDC_NB_GF_AT-6135
1602,RDC_NB_GF_VAV6140,VAV,Workstation N-0317,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6140
1603,RDC_NB_GF_VAV6145,VAV,Office N-0318,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6145
1604,RDC_NB_GF_VAV6150,VAV,Office N-0319,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6150
1605,RDC_NB_GF_VAV6155,VAV,Workstation N-0320,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6155
1606,RDC_NB_GF_VAV6160,VAV,Office N-0321,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6160
1607,RDC_NB_GF_VAV6170,VAV,Office N-0323,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6170
1608,RDC_NB_GF_VAV6175,VAV,Workstation N-0324,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6175
1609,RDC_NB_GF_VAV6180,VAV,Office N-0325,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6180
1610,RDC_NB_GF_VAV6185_EV6186,EV,Office N-0326,no reading anywhere in the assembly,,,RDC_NB_GF_AT-6185
