row,tag,type,room in column D,verdict,historian object it belongs to,points of its own
1443,RDC_NB_AHU8511,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1444,RDC_NB_AHU8512,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1445,RDC_NB_2F_2F_AHU8513,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1446,RDC_NB_2F_AHU8514,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1447,RDC_NB_2F_AHU8515,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1448,RDC_NB_2F_AHU8516,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1449,RDC_NB_2F_AHU8517,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1450,RDC_NB_2F_AHU8518,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1451,RDC_NB_2F_AHU8519,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1452,RDC_NB_2F_AHU8520,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1453,RDC_NB_2F_AHU8521,AHU,NORTH BUILDING PENT HOUSE N-2101,unit - has its own historian object,,8
1454,RDC_SB_2F_AHU8011,AHU,SOUTH BUILDING PENTHOUSE S-2101,unit - has its own historian object,,8
1455,RDC_SB_2F_AHU8012,AHU,SOUTH BUILDING PENTHOUSE S-2101,unit - has its own historian object,,8
1456,RDC_SB_2F_AHU8021,AHU,SOUTH BUILDING PENTHOUSE S-2101,unit - has its own historian object,,8
1457,RDC_SB_2F_AHU8022,AHU,SOUTH BUILDING PENTHOUSE S-2101,unit - has its own historian object,,8
1458,RDC_SB_2F_AHU8023,AHU,SOUTH BUILDING PENTHOUSE S-2101,unit - has its own historian object,,8
1459,RDC_SB_2F_AHU8024,AHU,SOUTH BUILDING PENTHOUSE S-2101,unit - has its own historian object,,8
1460,RDC_SB_2F_AHU8025,AHU,SOUTH BUILDING PENTHOUSE S-2101,unit - has its own historian object,,8
1461,RDC_SB_2F_AHU8026,AHU,SOUTH BUILDING PENTHOUSE S-2101,unit - has its own historian object,,8
1462,RDC_SB_GF_AHU8031,AHU,COMPUTER RESEARCH LAB S-1112,unit - has its own historian object,,8
1463,RDC_SB_GF_AHU8032,AHU,COMPUTER RESEARCH LAB S-1112,unit - has its own historian object,,8
1464,RDC_SB_GF_AHU8033,AHU,COMPUTER RESEARCH LAB S-1112,unit - has its own historian object,,8
1465,RDC_SB_GF_AHU8034,AHU,COMPUTER RESEARCH LAB S-1112,unit - has its own historian object,,8
1466,RDC_SB_GF_AHU8035,AHU,COMPUTER RESEARCH LAB S-1112,unit - has its own historian object,,8
1467,RDC_SB_GF_AHU8036,AHU,COMPUTER RESEARCH LAB S-1112,unit - has its own historian object,,7
1468,RDC_SB_GF_AHU8037,AHU,COMPUTER RESEARCH LAB S-1112,unit - has its own historian object,,7
1469,RDC_SB_GF_AHU8041,AHU,UPS ROOM S-0145,unit - has its own historian object,,7
1470,RDC_SB_GF_AHU8042,AHU,UPS ROOM S-0145,unit - has its own historian object,,7
1471,RDC_UB_AHU8601,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1472,RDC_UB_AHU8602,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1473,RDC_UB_AHU8603,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1474,RDC_UB_AHU8604,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1475,RDC_UB_AHU8605,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1476,RDC_UB_AHU8606,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1477,RDC_UB_AHU8607,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1478,RDC_UB_AHU8608,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1479,RDC_UB_AHU8609,AHU,UTILITY BUILDING MECHANICAL ROOM U-1101,unit - has its own historian object,,8
1480,RDC_NB_GF_VAV4001,VAV,Store N-0201,unit - has its own historian object,,9
1481,RDC_NB_GF_VAV4005_EV4006,EV,Electrical N-0202,unit - has its own historian object,,10
1482,RDC_NB_GF_VAV4040,VAV,Air Quality High Bay N-0215A,unit - has its own historian object,,4
1483,RDC_NB_GF_VAV4050_VEV4051,VEV,CSP High Bay N-0215B,unit - has its own historian object,,7
1484,RDC_NB_GF_VAV4060_VEV4061,VEV,Machine Shop N-0215C,unit - has its own historian object,,7
1485,RDC_NB_GF_VAV4070A_VEV4073A,VAV,Open High Bay Lab N-0215D,unit - has its own historian object,,7
1486,RDC_NB_GF_VAV4070B_VEV4073B,VAV,Open High Bay Lab N-0215D,unit - has its own historian object,,5
1487,RDC_NB_GF_VAV4071A_VEV4074A,VAV,Open High Bay Lab N-0215D,unit - has its own historian object,,6
1488,RDC_NB_GF_VAV4071B_VEV4074B,VAV,Open High Bay Lab N-0215D,unit - has its own historian object,,5
1489,RDC_NB_GF_VAV4072A_VEV4075A,VAV,Open High Bay Lab N-0215D,unit - has its own historian object,,6
1490,RDC_NB_GF_VAV4072B_VEV4075B,VAV,Open High Bay Lab N-0215D,unit - has its own historian object,,5
1491,RDC_NB_GF_VAV4080A_VEV4082A,VAV,Desal High Bay Lab N-0215E,unit - has its own historian object,,6
1492,RDC_NB_GF_VAV4080B_VEV4082B,VAV,Desal High Bay Lab N-0215E,unit - has its own historian object,,5
1493,RDC_NB_GF_VAV4081A_VEV4083A,VAV,Desal High Bay Lab N-0215E,unit - has its own historian object,,7
1494,RDC_NB_GF_VAV4081B_VEV4083B,VAV,Desal High Bay Lab N-0215E,unit - has its own historian object,,5
1495,RDC_NB_GF_VAV4090_VEV4091,VEV,Support Lab N-0215F,unit - has its own historian object,,7
