row,building,tag,room before,room after,chosen from,kind of change
4,HQ,AHU12_0001,HQ RF,RF.001 ROOF,D->E,room number added
5,HQ,AHU12_0002,HQ RF,RF.001 ROOF,D->E,room number added
6,HQ,AHU12_0003,HQ RF,RF.001 ROOF,D->E,room number added
7,HQ,AHU12_0004,HQ RF,RF.001 ROOF,D->E,room number added
8,HQ,AHU12_0006,HQ RF,RF.001 ROOF,D->E,room number added
9,HQ,AHU12_0007,HQ RF,RF.001 ROOF,D->E,room number added
10,HQ,AHU12_0008,HQ RF,RF.001 ROOF,D->E,room number added
11,HQ,AHU12_0009,HQ RF,RF.001 ROOF,D->E,room number added
12,HQ,AHU12_0010,HQ RF,RF.001 ROOF,D->E,room number added
13,HQ,AHU2_0001,SPA PLANT ROOM 2.302,2.302 SPA PLANT ROOM,D,"same room, name reordered"
14,HQ,AHU5_0001,PLANT ROOM 5.301,5.301 PLANT ROOM,D,"same room, name reordered"
15,HQ,AHU5_0002,PLANT ROOM 5.301,5.301 PLANT ROOM,D,"same room, name reordered"
16,HQ,AHU9_0001,PLANT ROOM 9.111,9.111 PLANT ROOM,D,"same room, name reordered"
17,HQ,AHU9_0002,PLANT ROOM 9.111,9.111 PLANT ROOM,D,"same room, name reordered"
18,HQ,AHU9_0003,AHU ROOM 9.109,9.109 AHU ROOM,D,"same room, name reordered"
19,HQ,AHUB_0001,B.001,B1.001 AHU 4,D->E,"same room, level prefix differs"
20,HQ,AHUB_0002,B.001,B1.001 AHU 4,D->E,"same room, level prefix differs"
21,HQ,AHUB_0003,B.006,B1.006 AHU 1,D->E,"same room, level prefix differs"
22,HQ,AHUB_0004,B.006,B1.006 AHU 1,D->E,"same room, level prefix differs"
23,HQ,AHUB_0005,B.016,B1.016 AHU 2,D->E,"same room, level prefix differs"
24,HQ,AHUB_0006,B.016,B1.016 AHU 2,D->E,"same room, level prefix differs"
25,HQ,AHUB_0007,B.022,B1.022 AHU 3,D->E,"same room, level prefix differs"
26,HQ,AHUB_0008,B.001,B1.001 AHU 4,D->E,"same room, level prefix differs"
27,HQ,AHUB_0009,B.019,B1.019 AHU,D->E,"same room, level prefix differs"
28,HQ,AHUB_0010,B.019,B1.019 AHU,D->E,"same room, level prefix differs"
29,HQ,AHUB_0011,B.019,B1.019 AHU,D->E,"same room, level prefix differs"
30,HQ,FCU0001,IDF ROOM B.512,B1.512 IDF ROOM,D,"same room, level prefix differs"
31,HQ,FCU0002,SECURITY CONTROL B.003,B1.003 CONTROL ROOM,D->E,"same room, level prefix differs"
32,HQ,FCU0003,DOCK MASTER OFFICE B.107,B1.107 DOCK MASTER OFFICE,D,"same room, level prefix differs"
