Subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val
unit:EPOCH,qudt:Unit,rdf:type,qudt:Unit,,qudt:symbol,<blanknode>,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Zero_Current_Sensor,owl:Class,rdfs:subClassOf,brick:Current_Sensor,,rdfs:label_en,Zero Sequence Current,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Working_Day_Status,owl:Class,rdfs:subClassOf,brick:Status,,rdfs:label_en,Working Day Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Winter_Supply_Air_Temperature_Setpoint,owl:Class,rdfs:subClassOf,brick:Supply_Air_Temperature_Setpoint,,rdfs:label_en,Winter Supply Air Temperature Setpoint,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Utility_Meter,owl:Class,rdfs:subClassOf,brick:Electrical_Meter,,rdfs:label_en,Utility Electrical Meter,,,,,,,,,,,,,,,,,,,,,,,,,,
para:Util_Type,owl:Class,rdfs:subClassOf,brick:Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para:USD-PER-EGP,qudt:Unit,rdf:type,qudt:Unit,,qudt:symbol,USD/EGP,,,,,,,,,,,,,,,,,,,,,,,,,,
para:UPS_Temperature_Sensor,owl:Class,rdfs:subClassOf,brick:Temperature_Sensor,,rdfs:label_en,UPS Temperature Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
para:UPS_Temperature_Alarm,owl:Class,rdfs:subClassOf,brick:Temperature_Alarm,,rdfs:label_en,UPS Temperature Alarm,,,,,,,,,,,,,,,,,,,,,,,,,,
para:UPS_Status,owl:Class,rdfs:subClassOf,brick:Status,,rdfs:label_en,UPS Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:UPS_Off_Status,owl:Class,rdfs:subClassOf,brick:Off_Status,,rdfs:label_en,UPS Off Status,,,,,,,,,,,,,,,,,,,,,,,,,,
para:UPS_Off_Command,owl:Class,rdfs:subClassOf,brick:Off_Command,,rdfs:label_en,UPS Off Command,,,,,,,,,,,,,,,,,,,,,,,,,,
