subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
para:Pressure_Independent_Module,owl:Class,rdfs:subClassOf,brick:Terminal_Unit,,rdfs:label_en,Pressure Independent Module,,,,,,,,,,,,,,,,,,,,
para:Operation_Hours,owl:Class,rdfs:subClassOf,brick:Duration_Sensor,,rdfs:label_en,Operating Duration,,,,,,,,,,,,,,,,,,,,
entity:QNL,rec:Building,rec:isPartOf,entity:Education-City,rec:Site,rdfs:label_en,QNL,rdfs:label_en,Education City,,,,,,,,,,,,,,,,,,
entity:QNL,rec:Building,rec:area,<blanknode>,<blanknode>,rdfs:label_en,QNL,rec:grossArea,45000,,,brick:hasUnit,unit:M2,,,,,,,,,,,,,,
entity:QNL_Basement,rec:BasementLevel,rec:isPartOf,entity:QNL,rec:Building,rdfs:label_en,Basement,,,rec:levelNumber,-1,,,,,,,,,,,,,,,,
entity:QNL_Floor-1,rec:Level,rec:isPartOf,entity:QNL,rec:Building,rdfs:label_en,1st Floor,,,rec:levelNumber,1,,,,,,,,,,,,,,,,
entity:QNL_Basement-A,rec:Zone,rec:isPartOf,entity:QNL_Basement,rec:BasementLevel,rdfs:label_en,Basement Zone A,,,,,,,,,,,,,,,,,,,,
entity:QNL_Floor-1-A,rec:Zone,rec:isPartOf,entity:QNL_Floor-1,rec:Level,rdfs:label_en,Floor 1 Zone A,,,,,,,,,,,,,,,,,,,,
entity:QNL_Floor-1_1HC-H1,rec:HVACZone,rec:isPartOf,entity:QNL_Floor-1,rec:Level,rdfs:label_en,1HC H1,,,,,,,,,,,,,,,,,,,,
entity:QNL_Basement_Plant-Room_063,rec:Room,rec:isPartOf,entity:QNL_Basement-A,rec:Zone,rdfs:label_en,Plant Room 01,,,,,,,,,,,,,,,,,,,,
entity:QNL_Basement_Plant-Room_063,rec:Room,ref:hasExternalReference,<blanknode>,ref:IFCReference,,,ref:ifcName,QNL_Basement_Plant-Room_063,,,,,,,,,,,,,,,,,,
entity:QNL_Floor-1_Reading-Room_101,rec:Room,rec:isPartOf,entity:QNL_Floor-1-A,rec:Zone,rdfs:label_en,Reading Room 101,,,,,,,,,,,,,,,,,,,,
entity:HVAC,brick:Heating_Ventilation_Air_Conditioning_System,rec:isPartOf,entity:QNL,rec:Building,rdfs:label_en,HVAC System,,,,,,,,,,,,,,,,,,,,
entity:AHU-B-01,brick:Air_Handling_Unit,rec:locatedIn,entity:QNL_Basement_Plant-Room_063,rec:Room,rdfs:label_en,AHU B 01,,,rec:modelNumber,39FX350,,,,,,,,,,,,,,,,
entity:AHU-B-01,brick:Air_Handling_Unit,brick:isPartOf,entity:HVAC,brick:Heating_Ventilation_Air_Conditioning_System,,,,,,,,,,,,,,,,,,,,,,
entity:AHU-B-01,brick:Air_Handling_Unit,ref:hasExternalReference,<blanknode>,ref:IFCReference,,,ref:ifcName,AHU-B-01,,,,,,,,,,,,,,,,,,
entity:AHU-B-01,brick:Air_Handling_Unit,rec:feeds,entity:PIM-01,para:Pressure_Independent_Module,,,,,,,,,,,,,,,,,,,,,,
entity:AHU-B-01,brick:Air_Handling_Unit,brick:hasPart,entity:AHU-B-01_SF,brick:Supply_Fan,,,rdfs:label_en,Supply Fan,,,,,,,,,,,,,,,,,,
entity:AHU-B-01_SF,brick:Supply_Fan,brick:hasPart,entity:AHU-B-01_SF_VFD,brick:Variable_Frequency_Drive,,,rdfs:label_en,Supply Fan VFD,,,,,,,,,,,,,,,,,,
entity:AHU-B-01_SF_VFD,brick:Variable_Frequency_Drive,brick:ratedPowerInput,<blanknode>,<blanknode>,,,brick:value,18.5,,,brick:hasUnit,unit:KiloW,,,,,,,,,,,,,,
entity:PIM-01,para:Pressure_Independent_Module,rec:locatedIn,entity:QNL_Floor-1_Reading-Room_101,rec:Room,rdfs:label_en,PIM 01,,,,,,,,,,,,,,,,,,,,
entity:PIM-01,para:Pressure_Independent_Module,rec:feeds,entity:QNL_Floor-1_Reading-Room_101,rec:Room,,,,,,,,,,,,,,,,,,,,,,
entity:PIM-01,para:Pressure_Independent_Module,brick:isPartOf,entity:HVAC,brick:Heating_Ventilation_Air_Conditioning_System,,,,,,,,,,,,,,,,,,,,,,
entity:AHU-B-01_SF_VFD,brick:Variable_Frequency_Drive,brick:hasPoint,entity:AHU-B-01_SF_VFD_Speed-Command,brick:Speed_Command,,,rdfs:label_en,Supply Fan Speed Command,,,brick:hasUnit,unit:PERCENT,,,,,,,,,,,,,,
entity:AHU-B-01_SF_VFD_Speed-Command,brick:Speed_Command,ref:hasExternalReference,<blanknode>,ref:TimeseriesReference,,,ref:hasTimeseriesId,AHUB01_SF_SPD_CMD,,,para:hasEntityId,QNL,,,,,,,,,,,,,,
entity:PIM-01,para:Pressure_Independent_Module,brick:hasPoint,entity:PIM-01_Zone-Air-Temperature,brick:Zone_Air_Temperature_Sensor,,,rdfs:label_en,Zone Air Temperature,,,brick:hasUnit,unit:DEG_C,,,,,,,,,,,,,,
entity:PIM-01_Zone-Air-Temperature,brick:Zone_Air_Temperature_Sensor,ref:hasExternalReference,<blanknode>,ref:TimeseriesReference,,,ref:hasTimeseriesId,PIM01_ZN_T,,,para:hasEntityId,QNL,,,,,,,,,,,,,,
entity:PIM-01,para:Pressure_Independent_Module,brick:hasPoint,entity:PIM-01_Operation-Duration,para:Operation_Hours,,,rdfs:label_en,Operating Duration,,,brick:hasUnit,unit:HR,,,,,,,,,,,,,,
entity:PIM-01_Operation-Duration,para:Operation_Hours,ref:hasExternalReference,<blanknode>,ref:TimeseriesReference,,,ref:hasTimeseriesId,PIM01_OPHRS_CALC,,,para:hasEntityId,QNL,,,,,,,,,,,,,,
entity:PIM-01_Zone-Air-Temperature,brick:Zone_Air_Temperature_Sensor,brick:aggregate,<blanknode>,<blanknode>,,,brick:aggregationFunction,mean,,,brick:aggregationInterval,RPT1H,,,,,,,,,,,,,,
