property,type,subPropertyOf,source
para:Rated_Tank_Level,brick:EntityProperty,para:ratedTankLevel,DarCairo_V93.csv
para:ratedChilledWaterFlowrate,brick:EntityProperty,para:ratedChilledWaterFlowrate,DarCairo_V93.csv
para:ratedExhaustAirFlowrate,brick:EntityProperty,para:ratedExhaustAirFlowrate,DarCairo_V93.csv
para:ratedFrequency,brick:EntityProperty,,QF_SSC_Ontology_draft0.5_review.xlsx
para:ratedHead,brick:EntityProperty,para:ratedHead,DarCairo_V93.csv
para:ratedOutsideAirFlowrate,brick:EntityProperty,para:ratedOutsideAirFlowrate,DarCairo_V93.csv
para:ratedPower,brick:EntityProperty,,QF_SSC_Ontology_draft0.5_review.xlsx
para:ratedReheatCapacity,brick:EntityProperty,,QF_SSC_Ontology_draft0.5_review.xlsx
para:ratedSpeed,brick:EntityProperty,para:ratedSpeed,DarCairo_V93.csv
para:ratedSupplyAirFlowrate,brick:EntityProperty,para:ratedSupplyAirFlowrate,DarCairo_V93.csv
para:ratedVoltage,brick:EntityProperty,,QF_SSC_Ontology_draft0.5_review.xlsx
para:ratedWaterFlowrate,brick:EntityProperty,para:ratedWaterFlowrate,DarCairo_V93.csv
para:refrigerant,brick:EntityProperty,,DarCairo_V93.csv
