unit,uses
unit:UNITLESS,6242
unit:DEG_C,3296
unit:KiloW,2426
unit:PERCENT,1818
unit:HR,1813
unit:L-PER-SEC,1242
unit:KiloW-HR,889
unit:EPOCH,764
unit:M2,755
unit:V,497
para:KiloWt-HR,318
unit:PA,297
para:KiloWt,295
unit:PPM,273
unit:MicroGM-PER-M3,252
unit:A,229
unit:PERCENT_RH,184
unit:DeciB,171
unit:LUX,171
unit:KiloWHR,147
unit:RPM,123
unit:PPB,88
unit:HZ,76
unit:MIN,51
unit:M,47
unit:BAR,15
unit:W,13
unit:MegaW-HR,10
para:EGP-PER-KiloW-HR,7
para:KiloGM-CO2-PER-KiloW-HR,4
unit:KVA,4
unit:M3-PER-HR,3
para:EGP-PER-M3,2
para:KiloGM-CO2-PER-KiloWt-HR,2
para:Minutes,2
para:USD-PER-EGP,2
para:CDD_DEGC_CALC,1
para:EGP-PER-KiloWt-HR,1
para:EGP-PER-L-PER-SEC,1
unit:KiloW-HR-PER-M2,1
unit:REV-PER-MIN,1
